D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
392070001,3,4,4,4,4,2
392070002,2,2,3,3,3,2
392070003,2,3,4,4,4,-1
392070004,3,2,3,3,3,1
392070005,3,1,1,1,1,-1
392070006,2,4,4,4,-1,-1
392070007,2,2,2,3,3,-1
392070008,-1,4,4,-1,-1,2
392070009,2,-1,2,2,2,2
392070010,-1,2,3,3,3,1
392070011,2,4,4,4,4,2
392070012,1,3,-1,3,4,2
392070013,2,3,3,3,3,3
392070014,-1,3,3,3,3,2
392070015,2,3,-1,-1,-1,2
392070016,2,3,2,3,3,2
392070017,2,3,-1,3,-1,2
392070018,1,3,2,3,2,2
392070019,3,3,3,3,3,-1
392070020,2,3,2,3,2,2
392070021,-1,2,-1,-1,2,-1
392070022,2,3,3,3,3,1
392070023,2,3,3,3,3,2
392070024,1,-1,-1,-1,-1,2
392070025,-1,3,-1,-1,-1,-1
392070026,2,2,3,2,2,1
392070027,3,3,3,2,3,3
392070028,2,-1,4,4,4,-1
392070029,2,3,3,4,3,3
392070030,2,-1,-1,-1,-1,2
392070031,3,3,4,4,4,2
392070032,2,3,-1,4,-1,2
392070033,2,3,4,4,4,1
392070034,2,4,4,4,4,1
392070035,2,3,3,3,3,2
392070036,2,-2,-1,3,2,2
392070037,2,3,2,2,2,1
392070038,2,4,4,4,4,1
392070039,2,3,4,4,4,2
392070040,2,3,2,3,3,2
392070041,2,3,2,2,2,1
392070042,2,3,-1,3,2,2
392070043,2,2,2,2,2,2
392070044,2,4,4,3,2,4
392070045,2,3,4,4,4,1
392070046,-1,-1,4,4,3,2
392070047,-1,-1,-1,-1,-1,-1
392070048,-1,3,-1,-1,2,2
392070049,-1,3,-1,-1,-1,-1
392070050,-1,3,-1,3,-1,2
392070051,2,3,3,-1,-1,1
392070052,-1,-1,3,3,3,2
392070053,2,-1,3,3,3,-1
392070054,4,4,3,4,4,-1
392070055,2,4,1,2,-1,4
392070056,2,3,3,3,3,-1
392070057,4,3,3,4,3,-1
392070058,2,4,3,4,3,2
392070059,4,3,4,4,4,2
392070060,1,-1,-1,4,3,-1
392070061,3,3,3,3,3,2
392070062,2,2,2,2,3,2
392070063,3,3,3,3,3,2
392070064,3,3,3,3,-1,1
392070065,3,3,3,3,3,1
392070066,2,-1,-1,3,-1,3
392070067,2,3,4,4,2,2
392070068,-1,-1,-1,3,-1,1
392070069,3,4,4,4,4,4
392070070,2,3,3,3,3,2
392070071,2,-1,-1,2,2,-1
392070072,2,3,3,3,3,-1
392070073,-1,-1,2,-1,2,1
392070074,2,2,1,2,2,1
392070075,-1,4,3,-1,3,-1
392070076,2,3,4,4,4,2
392070077,1,2,2,3,2,2
392070078,2,3,2,3,3,2
392070079,-1,1,-1,-1,-1,2
392070080,3,2,3,3,3,3
392070081,2,3,3,3,3,2
392070082,-1,3,-1,3,2,2
392070083,-1,2,-1,-1,2,1
392070084,-1,-1,2,3,2,2
392070085,3,3,-1,3,-1,3
392070086,2,3,3,3,3,2
392070087,2,2,2,4,2,2
392070088,-1,-1,-1,-1,-1,-1
392070089,2,2,2,3,2,1
