D_INTERVIEW,Q1,Q2,Q3,Q4,Q5,Q6
528070001,1,2,2,2,2,1
528070002,1,1,2,2,3,2
528070003,1,1,2,3,-5,4
528070004,1,1,2,2,2,3
528070005,1,1,1,4,1,4
528070006,1,2,2,4,1,4
528070007,1,1,1,2,2,4
528070008,1,1,2,4,4,4
528070009,2,2,2,2,1,4
528070010,1,2,-5,2,-5,1
528070011,1,1,1,3,2,2
528070012,1,1,2,3,3,4
528070013,1,1,1,2,2,3
528070014,1,1,1,2,2,4
528070015,1,3,3,3,1,4
528070016,1,2,1,2,1,2
528070017,1,1,2,4,1,1
528070018,1,1,1,3,3,2
528070019,2,2,2,3,2,4
528070020,2,2,2,1,-5,3
528070021,1,2,2,2,1,3
528070022,1,2,2,3,2,3
528070023,1,1,1,4,1,3
528070024,2,1,2,2,-5,1
528070025,1,1,1,3,1,3
528070026,1,1,1,2,2,3
528070027,2,2,2,3,-5,-5
528070028,1,1,1,3,2,-1
528070029,1,1,2,3,2,4
528070030,1,1,2,2,-5,-5
528070031,2,2,2,3,3,3
528070032,1,2,1,3,1,3
528070033,2,2,3,4,-5,3
528070034,1,2,2,3,1,-5
528070035,1,1,1,4,2,4
528070036,1,2,2,3,2,4
528070037,1,1,3,2,-5,1
528070038,1,1,2,3,-5,-5
528070039,1,2,2,2,2,4
528070040,1,1,2,3,2,4
528070041,1,2,1,2,2,4
528070042,1,2,2,2,1,3
528070043,-1,-1,-1,-1,-1,-1
528070044,1,2,1,2,2,1
528070045,-5,-2,2,4,2,4
528070046,1,1,1,3,2,4
528070047,1,1,1,2,1,1
528070048,1,1,1,3,2,4
528070049,1,1,1,3,2,3
528070050,2,2,2,3,2,3
528070051,2,1,1,3,4,4
528070052,2,2,1,3,3,4
528070053,1,1,2,2,2,3
528070054,3,2,3,4,1,4
528070055,1,1,1,2,2,4
528070056,1,3,2,3,2,3
528070057,1,1,3,3,4,3
528070058,1,1,1,3,2,3
528070059,2,1,2,2,2,3
528070060,1,1,1,3,1,4
528070061,1,1,1,3,1,4
528070062,1,2,1,-1,2,1
528070063,1,1,1,3,2,4
528070064,1,1,1,1,1,1
528070065,1,2,2,4,2,2
528070066,2,2,1,2,2,4
528070067,2,1,1,2,2,4
528070068,1,1,2,2,-5,2
528070069,1,1,1,2,1,3
528070070,1,1,2,3,2,4
528070071,1,1,2,2,2,3
528070072,2,1,2,3,2,4
528070073,1,1,1,4,3,-5
528070074,3,2,1,3,2,2
528070075,1,1,-5,1,-5,4
528070076,1,1,1,2,2,3
528070077,1,1,1,3,1,4
528070078,1,1,1,4,2,4
528070079,2,1,1,3,2,2
528070080,1,3,1,2,4,1
528070081,1,1,2,4,1,4
528070082,1,1,1,3,2,4
528070083,1,2,2,3,2,4
528070084,1,2,2,2,-5,4
528070085,1,1,2,3,-5,1
528070086,1,1,1,-1,2,4
528070087,1,2,2,3,2,4
528070088,1,1,1,1,-5,-5
528070089,1,1,1,2,1,4
528070090,1,2,3,2,1,4
528070091,1,1,-5,2,-5,3
528070092,1,2,2,4,2,4
528070093,2,3,1,2,2,4
528070094,3,1,2,2,1,3
528070095,1,1,1,2,2,4
528070096,2,2,2,2,-5,1
528070097,2,2,1,3,3,4
528070098,1,1,1,2,-5,-5
528070099,1,1,2,2,4,1
528070100,1,1,1,2,1,1
528070101,1,1,2,3,2,4
528070102,1,1,2,2,2,1
528070103,2,2,2,3,2,4
528070104,1,2,2,2,2,3
528070105,1,1,1,2,2,4
528070106,1,1,1,3,2,4
528070107,1,1,2,2,-5,-1
528070108,2,2,2,2,2,2
528070109,-5,2,1,4,-5,4
528070110,1,2,3,3,3,4
528070111,1,3,2,2,2,3
528070112,1,2,1,3,3,1
528070113,1,1,2,4,2,3
528070114,1,2,1,4,2,4
528070115,1,2,2,2,2,-5
528070116,1,2,1,3,2,1
528070117,1,1,2,2,1,3
528070118,1,2,2,3,2,4
528070119,1,1,1,2,-5,1
528070120,1,1,1,2,2,3
528070121,1,1,1,3,2,4
528070122,3,1,1,2,1,4
528070123,2,2,1,3,3,3
528070124,1,2,-5,2,-5,-5
528070125,3,3,4,4,3,4
528070126,1,1,2,3,-5,3
528070127,1,1,2,2,2,3
528070128,1,1,1,3,2,4
528070129,1,1,1,3,4,4
528070130,2,1,1,3,3,4
528070131,2,2,1,2,2,3
528070132,3,3,1,3,2,4
528070133,1,1,1,3,1,2
528070134,1,1,2,3,2,4
528070135,1,2,2,3,2,2
528070136,1,1,2,1,2,2
528070137,1,2,2,2,2,3
528070138,1,2,1,3,2,1
528070139,3,4,2,2,3,3
528070140,1,2,2,3,2,4
528070141,1,2,1,2,3,3
528070142,1,2,1,2,1,2
528070143,1,2,2,2,-5,1
528070144,1,1,1,3,1,1
528070145,1,1,2,4,2,4
528070146,1,2,1,4,-5,4
528070147,2,2,2,2,-5,4
528070148,1,2,2,3,1,3
528070149,2,2,-5,1,-5,4
528070150,3,3,2,4,4,4
528070151,2,1,1,3,2,4
528070152,1,1,2,3,2,3
528070153,1,1,2,3,-5,1
528070154,2,2,2,3,2,2
528070155,2,1,1,3,3,4
528070156,1,2,3,4,2,1
528070157,1,2,1,3,2,1
528070158,2,2,2,3,4,4
528070159,1,1,1,4,1,4
528070160,2,2,2,2,2,4
528070161,2,2,2,2,2,3
528070162,1,2,2,2,2,4
528070163,2,3,1,3,4,1
528070164,1,2,2,3,1,2
528070165,2,1,1,2,-5,-5
528070166,1,1,1,2,2,2
528070167,1,1,1,3,2,2
528070168,1,1,1,-1,-5,-2
528070169,1,1,2,3,-5,2
528070170,1,2,2,2,2,4
528070171,1,1,2,2,2,4
528070172,1,1,1,2,2,4
528070173,1,1,2,3,2,4
528070174,2,2,2,3,2,1
528070175,2,2,1,2,1,3
528070176,-5,-5,-5,-5,-5,-5
528070177,1,1,1,3,2,4
528070178,1,1,1,3,2,4
528070179,1,2,1,3,2,-5
528070180,2,2,2,2,-5,-5
528070181,1,2,-5,-5,-5,2
528070182,1,1,1,3,2,2
528070183,1,2,2,3,2,2
528070184,1,1,1,3,2,4
528070185,1,1,1,2,2,2
528070186,1,1,1,4,2,4
528070187,1,3,3,2,1,3
528070188,3,1,1,4,2,4
528070189,1,1,2,3,2,2
528070190,1,3,2,2,-5,2
528070191,1,2,1,2,3,4
528070192,-1,-1,-1,-1,-1,-1
528070193,1,2,1,4,4,3
528070194,2,2,2,3,2,3
528070195,1,1,1,2,1,4
528070196,1,1,1,3,2,2
528070197,2,2,2,3,3,4
528070198,1,1,1,3,1,3
528070199,1,1,1,3,2,3
528070200,1,1,2,2,1,3
528070201,1,1,1,3,-5,-5
528070202,1,1,1,3,1,4
528070203,2,1,1,2,1,3
528070204,2,1,2,3,1,3
528070205,1,1,2,2,2,4
528070206,1,1,1,3,4,4
528070207,1,1,2,4,2,-5
528070208,1,1,2,3,2,4
528070209,-5,2,2,2,2,4
528070210,2,2,2,4,2,4
528070211,1,2,2,3,2,3
528070212,1,1,1,2,1,3
528070213,3,2,2,2,2,4
528070214,1,1,2,3,2,3
528070215,2,1,1,3,1,4
528070216,1,1,1,3,2,4
528070217,1,1,2,2,2,3
528070218,2,2,1,3,2,4
528070219,1,1,1,2,1,4
528070220,1,1,1,3,2,-5
528070221,2,1,2,3,1,4
528070222,1,2,1,2,3,3
528070223,1,1,2,3,2,2
528070224,1,2,2,3,1,3
528070225,-1,-1,2,2,4,4
528070226,1,2,2,3,2,4
528070227,1,1,1,3,2,4
528070228,1,1,1,3,2,3
528070229,1,2,2,4,2,4
528070230,2,3,1,2,2,4
528070231,2,2,1,2,1,3
528070232,1,1,1,2,2,4
528070233,1,1,1,3,3,4
528070234,1,1,1,2,2,4
528070235,2,3,-5,3,-5,3
528070236,1,1,2,2,1,3
528070237,1,1,1,3,2,4
528070238,1,2,1,2,2,4
528070239,3,2,1,3,1,4
528070240,1,2,2,3,2,4
528070241,4,1,1,3,2,4
528070242,2,1,2,3,1,4
528070243,1,2,1,2,-5,2
528070244,-5,2,2,3,-5,-5
528070245,1,1,2,3,2,4
528070246,1,1,1,3,1,2
528070247,2,2,2,-1,2,4
528070248,1,2,2,3,2,3
528070249,2,2,1,3,3,3
528070250,1,1,2,3,1,3
528070251,1,1,1,3,2,2
528070252,-5,3,2,3,3,3
528070253,2,1,2,2,-5,4
528070254,1,2,2,3,2,4
528070255,1,2,2,3,-5,3
528070256,1,2,1,2,2,3
528070257,2,2,2,3,2,-1
528070258,2,2,1,2,2,4
528070259,1,2,3,4,-5,-5
528070260,1,1,1,2,1,3
528070261,2,1,1,2,1,1
528070262,1,1,1,4,1,4
528070263,1,3,2,3,1,2
528070264,1,1,2,3,2,4
528070265,1,2,1,2,2,2
528070266,1,2,1,3,2,4
528070267,2,1,1,3,2,4
528070268,1,2,3,3,1,2
528070269,1,1,2,1,1,3
528070270,1,1,1,3,2,3
528070271,1,2,1,3,-5,3
528070272,1,1,1,2,1,3
528070273,2,1,2,3,2,4
528070274,2,2,2,3,2,3
528070275,2,1,1,3,-5,2
528070276,1,1,1,3,2,4
528070277,2,2,1,3,-5,-5
528070278,1,1,1,3,-5,2
528070279,1,2,2,2,2,3
528070280,1,2,2,2,4,4
528070281,2,2,1,1,1,4
528070282,1,2,2,-1,2,-5
528070283,1,1,3,4,2,-5
528070284,1,2,2,3,3,2
528070285,1,2,2,4,3,2
528070286,1,1,2,2,2,4
528070287,1,2,1,3,1,4
528070288,2,2,2,3,2,4
528070289,1,1,1,3,-5,4
528070290,2,2,2,2,2,3
528070291,1,1,2,4,-5,3
528070292,1,2,2,3,2,4
528070293,1,2,2,1,1,1
528070294,2,4,4,3,3,3
528070295,2,2,2,3,2,3
528070296,2,2,1,3,2,4
528070297,1,2,2,3,3,3
528070298,1,1,1,2,1,4
528070299,1,1,2,3,2,1
528070300,1,1,2,3,2,4
528070301,1,1,2,3,1,2
528070302,1,2,2,3,2,4
528070303,1,2,1,2,1,2
528070304,1,2,2,3,2,3
528070305,1,1,1,2,1,3
528070306,1,1,2,2,1,1
528070307,2,2,1,3,2,4
528070308,2,1,1,2,2,4
528070309,1,2,2,4,4,1
528070310,1,1,1,2,1,4
528070311,1,1,1,2,4,4
528070312,2,1,1,2,1,2
528070313,1,2,2,3,-5,2
528070314,1,2,1,3,2,4
528070315,1,1,1,2,2,3
528070316,1,3,2,4,1,1
528070317,2,2,2,3,-5,4
528070318,1,1,2,2,2,4
528070319,1,2,1,3,1,4
528070320,1,1,1,2,3,4
528070321,1,2,2,3,1,3
528070322,1,2,1,3,2,4
528070323,2,2,1,2,1,3
528070324,1,2,3,2,2,3
