D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
528070001,-5,-5,-5,-5,-5
528070002,4,2,4,1,4
528070003,2,4,3,1,4
528070004,4,3,4,1,4
528070005,-1,-1,-2,-2,4
528070006,1,1,4,1,4
528070007,4,2,4,1,4
528070008,-2,-2,-5,-1,-5
528070009,4,3,4,1,4
528070010,2,3,4,1,2
528070011,-1,-1,4,1,3
528070012,3,3,4,1,4
528070013,2,3,3,1,4
528070014,4,2,4,1,4
528070015,4,4,4,1,4
528070016,2,1,4,1,4
528070017,3,-1,4,2,4
528070018,2,4,4,2,4
528070019,3,3,4,1,4
528070020,2,2,-1,2,2
528070021,3,4,3,2,4
528070022,2,3,3,2,3
528070023,2,1,-1,1,4
528070024,4,4,4,1,4
528070025,2,1,4,1,4
528070026,3,2,4,1,4
528070027,4,4,4,1,4
528070028,3,3,4,1,4
528070029,3,2,3,2,4
528070030,3,3,4,1,4
528070031,3,3,3,-1,4
528070032,-1,-1,-1,-1,-1
528070033,3,-1,4,1,4
528070034,-5,-5,-5,-5,-5
528070035,2,2,4,1,4
528070036,3,3,4,2,4
528070037,3,2,4,1,4
528070038,3,2,3,2,4
528070039,4,3,4,1,4
528070040,2,2,4,2,4
528070041,4,2,4,1,4
528070042,4,2,4,1,4
528070043,-1,-1,-1,-1,-1
528070044,4,3,4,2,4
528070045,-5,-5,-5,-5,-5
528070046,-1,-1,-1,-1,-1
528070047,3,3,4,1,3
528070048,-1,-1,4,-1,4
528070049,-5,-5,-5,-5,-5
528070050,3,2,3,2,4
528070051,4,2,4,1,4
528070052,4,2,4,1,4
528070053,3,2,4,2,4
528070054,2,-1,-1,-1,-1
528070055,3,2,4,2,4
528070056,4,2,4,1,4
528070057,2,1,4,1,4
528070058,3,2,4,1,4
528070059,3,3,4,2,4
528070060,-1,2,4,2,4
528070061,3,2,4,1,4
528070062,2,2,4,2,-1
528070063,-1,-1,4,-1,4
528070064,-1,-1,4,1,-5
528070065,2,3,4,2,4
528070066,4,2,4,1,4
528070067,2,2,4,1,4
528070068,2,2,4,-1,3
528070069,4,1,4,1,4
528070070,-1,-1,-1,-1,-1
528070071,2,3,4,1,4
528070072,-5,-5,-5,-5,-5
528070073,2,-1,-1,-1,-1
528070074,2,2,4,1,4
528070075,4,3,4,1,4
528070076,3,3,3,2,3
528070077,4,1,4,1,4
528070078,4,2,4,2,4
528070079,1,1,3,2,4
528070080,4,2,4,1,4
528070081,-1,-1,-1,-1,-1
528070082,2,2,3,3,4
528070083,3,3,4,2,4
528070084,4,3,4,1,4
528070085,4,3,4,1,4
528070086,1,2,4,2,4
528070087,2,2,4,1,4
528070088,3,2,4,1,4
528070089,4,3,4,2,-5
528070090,3,2,4,1,4
528070091,3,2,4,1,4
528070092,-1,-1,-1,-1,-1
528070093,3,1,3,1,3
528070094,-1,-1,-1,-1,3
528070095,3,2,4,2,4
528070096,4,2,4,1,4
528070097,4,2,4,2,4
528070098,4,3,4,1,4
528070099,1,4,4,1,2
528070100,4,2,4,1,4
528070101,3,3,4,1,4
528070102,3,-1,4,1,-1
528070103,-1,-1,4,2,4
