D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
392070001,4,4,4,4,4,4,4
392070002,4,4,4,4,4,4,4
392070003,3,2,-1,2,3,3,-1
392070004,4,2,2,4,4,4,4
392070005,2,1,-1,2,4,1,4
392070006,3,4,4,4,4,4,4
392070007,4,3,4,4,4,4,-1
392070008,-1,3,-1,-1,4,3,-1
392070009,3,2,3,3,3,2,3
392070010,3,3,-1,-1,-1,-1,-1
392070011,3,4,3,4,4,4,4
392070012,3,2,3,-1,-1,3,2
392070013,3,2,3,3,3,3,2
392070014,4,3,4,4,4,4,4
392070015,3,4,4,3,-1,3,3
392070016,3,3,3,3,3,3,3
392070017,3,3,3,4,4,3,3
392070018,3,3,3,3,4,4,4
392070019,4,2,-1,3,4,-1,3
392070020,3,3,3,3,4,3,3
392070021,4,4,4,4,4,4,4
392070022,4,4,4,4,4,4,4
392070023,3,3,3,3,3,4,3
392070024,-1,3,-1,-1,-1,3,3
392070025,4,4,4,4,4,4,4
392070026,3,3,3,-2,4,4,-1
392070027,3,2,3,3,-1,3,3
392070028,4,3,3,4,4,4,3
392070029,3,3,3,4,4,4,3
392070030,3,3,3,3,3,3,3
392070031,3,2,3,2,-1,3,2
392070032,3,3,4,4,3,3,-1
392070033,3,3,4,-1,4,4,-1
392070034,4,4,4,4,4,4,4
392070035,3,3,3,3,4,3,3
392070036,3,2,3,3,-1,-1,-1
392070037,4,4,4,4,4,3,4
392070038,3,3,-1,-1,-1,2,1
392070039,3,2,-1,4,4,3,2
392070040,3,3,4,3,4,4,3
392070041,3,4,3,4,4,4,4
392070042,3,3,-1,-1,4,3,3
392070043,3,2,4,4,4,4,-1
392070044,-2,-2,-2,-2,-2,-2,-2
392070045,2,2,3,-1,4,2,-1
392070046,4,4,4,4,4,3,3
392070047,3,-1,-1,-1,-1,-1,-1
392070048,4,3,-1,4,4,3,3
392070049,3,3,3,4,4,4,4
392070050,-1,-1,4,-1,4,4,3
392070051,4,2,-1,4,4,3,-1
392070052,3,-1,-1,-1,-1,-1,-1
392070053,3,3,4,4,4,3,3
392070054,3,4,4,4,-1,4,3
392070055,3,2,4,3,4,4,-1
