D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
392070001,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070002,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070003,3.0,2.0,-1.0,2.0,3.0,3.0,-1.0
392070004,4.0,2.0,2.0,4.0,4.0,4.0,4.0
392070005,2.0,1.0,-1.0,2.0,4.0,1.0,4.0
392070006,3.0,4.0,4.0,4.0,4.0,4.0,4.0
392070007,4.0,3.0,4.0,4.0,4.0,4.0,-1.0
392070008,-1.0,3.0,-1.0,-1.0,4.0,3.0,-1.0
392070009,3.0,2.0,3.0,3.0,3.0,2.0,3.0
392070010,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070011,3.0,4.0,3.0,4.0,4.0,4.0,4.0
392070012,3.0,2.0,3.0,-1.0,-1.0,3.0,2.0
392070013,3.0,2.0,3.0,3.0,3.0,3.0,2.0
392070014,4.0,3.0,4.0,4.0,4.0,4.0,4.0
392070015,3.0,4.0,4.0,3.0,-1.0,3.0,3.0
392070016,3.0,3.0,3.0,3.0,3.0,3.0,3.0
392070017,3.0,3.0,3.0,4.0,4.0,3.0,3.0
392070018,3.0,3.0,3.0,3.0,4.0,4.0,4.0
392070019,4.0,2.0,-1.0,3.0,4.0,-1.0,3.0
392070020,3.0,3.0,3.0,3.0,4.0,3.0,3.0
392070021,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070022,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070023,3.0,3.0,3.0,3.0,3.0,4.0,3.0
392070024,-1.0,3.0,-1.0,-1.0,-1.0,3.0,3.0
392070025,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070026,3.0,3.0,3.0,-2.0,4.0,4.0,-1.0
392070027,3.0,2.0,3.0,3.0,-1.0,3.0,3.0
392070028,4.0,3.0,3.0,4.0,4.0,4.0,3.0
392070029,3.0,3.0,3.0,4.0,4.0,4.0,3.0
392070030,3.0,3.0,3.0,3.0,3.0,3.0,3.0
392070031,3.0,2.0,3.0,2.0,-1.0,3.0,2.0
392070032,3.0,3.0,4.0,4.0,3.0,3.0,-1.0
392070033,3.0,3.0,4.0,-1.0,4.0,4.0,-1.0
392070034,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070035,3.0,3.0,3.0,3.0,4.0,3.0,3.0
392070036,3.0,2.0,3.0,3.0,-1.0,-1.0,-1.0
392070037,4.0,4.0,4.0,4.0,4.0,3.0,4.0
392070038,3.0,3.0,-1.0,-1.0,-1.0,2.0,1.0
392070039,3.0,2.0,-1.0,4.0,4.0,3.0,2.0
392070040,3.0,3.0,4.0,3.0,4.0,4.0,3.0
392070041,3.0,4.0,3.0,4.0,4.0,4.0,4.0
392070042,3.0,3.0,-1.0,-1.0,4.0,3.0,3.0
392070043,3.0,2.0,4.0,4.0,4.0,4.0,-1.0
392070044,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
392070045,2.0,2.0,3.0,-1.0,4.0,2.0,-1.0
392070046,4.0,4.0,4.0,4.0,4.0,3.0,3.0
392070047,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070048,4.0,3.0,-1.0,4.0,4.0,3.0,3.0
392070049,3.0,3.0,3.0,4.0,4.0,4.0,4.0
392070050,-1.0,-1.0,4.0,-1.0,4.0,4.0,3.0
392070051,4.0,2.0,-1.0,4.0,4.0,3.0,-1.0
392070052,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070053,3.0,3.0,4.0,4.0,4.0,3.0,3.0
392070054,3.0,4.0,4.0,4.0,-1.0,4.0,3.0
392070055,3.0,2.0,4.0,3.0,4.0,4.0,-1.0
392070056,4.0,4.0,4.0,4.0,4.0,3.0,3.0
392070057,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070058,4.0,3.0,4.0,4.0,-1.0,4.0,4.0
392070059,3.0,3.0,4.0,4.0,3.0,3.0,3.0
392070060,3.0,3.0,4.0,4.0,-1.0,3.0,3.0
392070061,3.0,3.0,-1.0,3.0,3.0,3.0,3.0
392070062,3.0,3.0,4.0,4.0,4.0,4.0,4.0
392070063,-1.0,3.0,4.0,4.0,4.0,3.0,-1.0
392070064,3.0,3.0,4.0,4.0,-1.0,-1.0,-1.0
392070065,4.0,2.0,4.0,3.0,4.0,3.0,3.0
392070066,3.0,4.0,4.0,4.0,4.0,4.0,4.0
392070067,3.0,4.0,4.0,-1.0,-1.0,3.0,3.0
392070068,3.0,3.0,3.0,3.0,4.0,3.0,-1.0
392070069,4.0,-1.0,4.0,4.0,4.0,4.0,4.0
392070070,-1.0,4.0,4.0,-1.0,-1.0,4.0,4.0
392070071,4.0,3.0,-1.0,4.0,4.0,3.0,-1.0
392070072,-1.0,1.0,-2.0,3.0,-1.0,3.0,-1.0
392070073,3.0,3.0,3.0,3.0,4.0,2.0,3.0
392070074,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070075,4.0,3.0,4.0,4.0,4.0,4.0,3.0
392070076,3.0,3.0,-1.0,4.0,-1.0,4.0,-1.0
392070077,4.0,4.0,3.0,3.0,4.0,3.0,3.0
392070078,-1.0,3.0,4.0,-1.0,-1.0,-1.0,3.0
392070079,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070080,4.0,3.0,4.0,4.0,4.0,4.0,4.0
392070081,3.0,3.0,3.0,3.0,3.0,3.0,3.0
392070082,3.0,2.0,4.0,4.0,4.0,4.0,4.0
392070083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070084,4.0,3.0,3.0,3.0,4.0,4.0,4.0
392070085,3.0,3.0,4.0,4.0,4.0,4.0,3.0
392070086,3.0,3.0,3.0,3.0,-1.0,3.0,2.0
392070087,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070088,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070089,2.0,3.0,3.0,4.0,4.0,3.0,3.0
392070090,4.0,4.0,3.0,4.0,4.0,4.0,4.0
392070091,3.0,3.0,-1.0,-1.0,-1.0,3.0,-1.0
392070092,3.0,4.0,4.0,4.0,-1.0,-1.0,4.0
392070093,3.0,2.0,3.0,4.0,4.0,4.0,4.0
392070094,4.0,4.0,4.0,4.0,4.0,4.0,4.0
392070095,3.0,2.0,3.0,3.0,4.0,3.0,-1.0
392070096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070097,4.0,4.0,4.0,4.0,4.0,4.0,4.0
