D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
528070001,-5.0,-5.0,-5.0,-5.0,-5.0
528070002,-1.0,-1.0,-1.0,-1.0,-1.0
528070003,2.0,2.0,2.0,1.0,2.0
528070004,2.0,2.0,2.0,2.0,2.0
528070005,-2.0,-1.0,-5.0,-2.0,-1.0
528070006,3.0,3.0,3.0,2.0,2.0
528070007,2.0,2.0,2.0,2.0,2.0
528070008,-1.0,-1.0,-1.0,-1.0,-1.0
528070009,2.0,3.0,2.0,1.0,2.0
528070010,2.0,2.0,2.0,2.0,2.0
528070011,2.0,2.0,2.0,2.0,3.0
528070012,2.0,2.0,2.0,2.0,2.0
528070013,2.0,2.0,2.0,2.0,2.0
528070014,-1.0,3.0,3.0,1.0,2.0
528070015,2.0,2.0,2.0,2.0,2.0
528070016,2.0,2.0,2.0,2.0,2.0
528070017,2.0,2.0,2.0,2.0,2.0
528070018,4.0,3.0,3.0,3.0,3.0
528070019,2.0,2.0,2.0,2.0,2.0
528070020,3.0,3.0,2.0,2.0,3.0
528070021,3.0,3.0,3.0,2.0,3.0
528070022,2.0,2.0,2.0,2.0,2.0
528070023,3.0,2.0,2.0,2.0,-1.0
528070024,2.0,2.0,2.0,2.0,2.0
528070025,3.0,2.0,3.0,2.0,3.0
528070026,2.0,3.0,3.0,3.0,2.0
528070027,2.0,2.0,2.0,2.0,2.0
528070028,2.0,2.0,2.0,2.0,2.0
528070029,3.0,3.0,3.0,3.0,3.0
528070030,2.0,2.0,2.0,2.0,2.0
528070031,2.0,2.0,2.0,2.0,2.0
528070032,-2.0,-2.0,-2.0,-2.0,-2.0
528070033,-1.0,-1.0,2.0,2.0,2.0
528070034,-5.0,-5.0,-5.0,-5.0,-5.0
528070035,-1.0,-1.0,-1.0,-1.0,-1.0
528070036,2.0,2.0,2.0,2.0,2.0
528070037,2.0,2.0,2.0,2.0,2.0
528070038,3.0,2.0,3.0,2.0,2.0
528070039,2.0,2.0,2.0,2.0,2.0
528070040,3.0,3.0,3.0,3.0,3.0
528070041,2.0,2.0,2.0,2.0,2.0
528070042,1.0,2.0,1.0,2.0,1.0
528070043,-1.0,-1.0,-1.0,-1.0,-1.0
528070044,2.0,2.0,2.0,2.0,2.0
528070045,2.0,2.0,2.0,2.0,2.0
528070046,3.0,3.0,3.0,3.0,3.0
528070047,2.0,2.0,2.0,2.0,2.0
528070048,-1.0,-1.0,-1.0,-1.0,-1.0
528070049,-5.0,-5.0,-5.0,-5.0,-5.0
