D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
528070001,-5,-5,-5,-5,-5
528070002,-1,-1,-1,-1,-1
528070003,2,2,2,1,2
528070004,2,2,2,2,2
528070005,-2,-1,-5,-2,-1
528070006,3,3,3,2,2
528070007,2,2,2,2,2
528070008,-1,-1,-1,-1,-1
528070009,2,3,2,1,2
528070010,2,2,2,2,2
528070011,2,2,2,2,3
528070012,2,2,2,2,2
528070013,2,2,2,2,2
528070014,-1,3,3,1,2
528070015,2,2,2,2,2
528070016,2,2,2,2,2
528070017,2,2,2,2,2
528070018,4,3,3,3,3
528070019,2,2,2,2,2
528070020,3,3,2,2,3
528070021,3,3,3,2,3
528070022,2,2,2,2,2
528070023,3,2,2,2,-1
528070024,2,2,2,2,2
528070025,3,2,3,2,3
528070026,2,3,3,3,2
528070027,2,2,2,2,2
528070028,2,2,2,2,2
528070029,3,3,3,3,3
528070030,2,2,2,2,2
528070031,2,2,2,2,2
528070032,-2,-2,-2,-2,-2
528070033,-1,-1,2,2,2
528070034,-5,-5,-5,-5,-5
528070035,-1,-1,-1,-1,-1
528070036,2,2,2,2,2
528070037,2,2,2,2,2
528070038,3,2,3,2,2
528070039,2,2,2,2,2
528070040,3,3,3,3,3
528070041,2,2,2,2,2
528070042,1,2,1,2,1
528070043,-1,-1,-1,-1,-1
528070044,2,2,2,2,2
528070045,2,2,2,2,2
528070046,3,3,3,3,3
528070047,2,2,2,2,2
528070048,-1,-1,-1,-1,-1
528070049,-5,-5,-5,-5,-5
528070050,-1,-1,-1,-1,-1
528070051,2,2,1,2,2
528070052,2,2,3,2,3
528070053,2,2,2,2,3
528070054,-1,-1,-1,-1,-1
528070055,2,2,2,2,2
528070056,-1,2,2,1,2
528070057,2,2,2,2,2
528070058,2,2,2,2,2
528070059,3,3,3,2,-1
528070060,-1,-1,-1,-1,-1
528070061,2,3,3,2,2
528070062,-1,-1,3,3,-1
528070063,-1,-1,-1,-1,-1
528070064,2,3,2,3,4
528070065,2,2,2,2,3
528070066,2,2,2,2,2
528070067,2,2,2,-1,2
528070068,2,-1,-1,-1,2
528070069,2,2,2,2,2
528070070,-1,-1,-1,-1,-1
528070071,2,2,2,2,2
