D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
458070001,2.0,4.0,4.0,4.0,4.0,2.0
458070002,1.0,3.0,2.0,2.0,2.0,2.0
458070003,1.0,3.0,3.0,3.0,3.0,3.0
458070004,1.0,4.0,2.0,2.0,1.0,1.0
458070005,1.0,3.0,2.0,4.0,4.0,1.0
458070006,1.0,4.0,2.0,3.0,2.0,2.0
458070007,1.0,2.0,2.0,1.0,2.0,2.0
458070008,1.0,3.0,2.0,2.0,2.0,2.0
458070009,1.0,4.0,4.0,3.0,3.0,3.0
458070010,1.0,1.0,2.0,2.0,2.0,2.0
458070011,2.0,1.0,2.0,2.0,2.0,2.0
458070012,1.0,1.0,2.0,1.0,1.0,2.0
458070013,1.0,4.0,3.0,3.0,3.0,2.0
458070014,2.0,3.0,2.0,3.0,2.0,2.0
458070015,2.0,2.0,3.0,3.0,2.0,3.0
458070016,1.0,3.0,2.0,3.0,3.0,2.0
458070017,2.0,3.0,2.0,3.0,3.0,2.0
458070018,1.0,4.0,2.0,2.0,1.0,2.0
458070019,1.0,4.0,1.0,4.0,3.0,3.0
458070020,2.0,3.0,1.0,2.0,2.0,3.0
458070021,1.0,4.0,2.0,1.0,2.0,2.0
458070022,1.0,3.0,2.0,3.0,3.0,3.0
458070023,1.0,3.0,1.0,2.0,2.0,2.0
458070024,1.0,3.0,1.0,4.0,4.0,1.0
458070025,1.0,3.0,1.0,3.0,1.0,3.0
458070026,1.0,3.0,2.0,3.0,3.0,3.0
458070027,2.0,3.0,3.0,3.0,2.0,2.0
458070028,1.0,2.0,2.0,2.0,2.0,3.0
458070029,1.0,4.0,3.0,3.0,3.0,2.0
458070030,1.0,3.0,4.0,4.0,4.0,2.0
458070031,1.0,3.0,1.0,1.0,1.0,1.0
458070032,1.0,3.0,3.0,3.0,2.0,1.0
458070033,1.0,4.0,1.0,1.0,1.0,1.0
458070034,2.0,3.0,2.0,2.0,2.0,2.0
458070035,2.0,1.0,2.0,3.0,3.0,2.0
458070036,1.0,4.0,4.0,3.0,3.0,3.0
458070037,2.0,2.0,2.0,2.0,2.0,2.0
458070038,2.0,2.0,2.0,2.0,2.0,2.0
458070039,2.0,2.0,2.0,3.0,3.0,2.0
458070040,1.0,2.0,1.0,2.0,1.0,2.0
458070041,1.0,2.0,2.0,2.0,2.0,2.0
458070042,1.0,3.0,3.0,3.0,3.0,3.0
458070043,2.0,3.0,2.0,3.0,3.0,2.0
458070044,2.0,3.0,2.0,2.0,2.0,2.0
458070045,1.0,2.0,1.0,1.0,3.0,1.0
458070046,1.0,3.0,2.0,3.0,2.0,3.0
458070047,2.0,3.0,2.0,2.0,2.0,2.0
458070048,1.0,4.0,3.0,3.0,3.0,3.0
458070049,2.0,3.0,3.0,2.0,2.0,2.0
458070050,2.0,2.0,2.0,2.0,2.0,2.0
458070051,1.0,3.0,1.0,2.0,2.0,2.0
458070052,2.0,2.0,1.0,2.0,2.0,2.0
458070053,2.0,3.0,2.0,3.0,2.0,2.0
458070054,1.0,3.0,1.0,3.0,2.0,3.0
458070055,1.0,1.0,2.0,2.0,2.0,2.0
458070056,1.0,3.0,1.0,2.0,3.0,2.0
458070057,1.0,3.0,3.0,3.0,3.0,3.0
458070058,1.0,2.0,2.0,1.0,2.0,2.0
458070059,1.0,1.0,1.0,3.0,2.0,2.0
458070060,2.0,3.0,3.0,1.0,2.0,2.0
458070061,1.0,3.0,1.0,1.0,1.0,1.0
458070062,1.0,4.0,3.0,3.0,3.0,3.0
458070063,1.0,3.0,2.0,1.0,1.0,2.0
458070064,1.0,4.0,3.0,3.0,3.0,3.0
458070065,1.0,3.0,1.0,1.0,1.0,1.0
458070066,1.0,2.0,2.0,3.0,2.0,3.0
458070067,1.0,4.0,1.0,1.0,1.0,1.0
458070068,2.0,3.0,2.0,2.0,2.0,2.0
458070069,2.0,4.0,3.0,4.0,3.0,2.0
458070070,2.0,3.0,4.0,4.0,4.0,2.0
458070071,2.0,2.0,2.0,3.0,2.0,1.0
458070072,1.0,4.0,3.0,3.0,2.0,3.0
458070073,2.0,3.0,3.0,3.0,3.0,2.0
458070074,2.0,3.0,2.0,2.0,2.0,3.0
458070075,1.0,3.0,1.0,1.0,1.0,2.0
458070076,2.0,2.0,1.0,3.0,3.0,2.0
458070077,1.0,4.0,2.0,1.0,2.0,4.0
458070078,2.0,3.0,2.0,1.0,1.0,1.0
458070079,2.0,1.0,2.0,3.0,2.0,2.0
458070080,2.0,2.0,2.0,2.0,2.0,2.0
458070081,1.0,2.0,3.0,2.0,1.0,1.0
458070082,1.0,2.0,2.0,3.0,4.0,4.0
458070083,3.0,3.0,1.0,2.0,1.0,3.0
458070084,2.0,4.0,3.0,4.0,4.0,3.0
458070085,2.0,3.0,2.0,3.0,2.0,2.0
458070086,2.0,3.0,3.0,3.0,3.0,3.0
458070087,2.0,2.0,3.0,3.0,3.0,2.0
458070088,2.0,3.0,4.0,4.0,4.0,2.0
458070089,1.0,4.0,4.0,4.0,4.0,1.0
458070090,2.0,3.0,2.0,4.0,4.0,1.0
458070091,1.0,4.0,3.0,3.0,3.0,2.0
458070092,1.0,3.0,3.0,3.0,2.0,2.0
458070093,1.0,3.0,4.0,1.0,2.0,3.0
458070094,1.0,3.0,3.0,3.0,3.0,2.0
458070095,1.0,4.0,3.0,3.0,3.0,3.0
458070096,2.0,3.0,2.0,2.0,2.0,3.0
458070097,2.0,3.0,4.0,3.0,3.0,2.0
458070098,1.0,4.0,3.0,3.0,3.0,3.0
458070099,1.0,4.0,3.0,3.0,4.0,4.0
458070100,1.0,3.0,3.0,3.0,3.0,2.0
458070101,1.0,3.0,3.0,3.0,3.0,2.0
458070102,1.0,4.0,3.0,3.0,3.0,2.0
458070103,1.0,4.0,2.0,3.0,3.0,4.0
458070104,1.0,1.0,2.0,2.0,2.0,1.0
458070105,1.0,3.0,2.0,2.0,2.0,1.0
458070106,1.0,3.0,3.0,3.0,2.0,2.0
458070107,1.0,1.0,3.0,3.0,3.0,3.0
458070108,2.0,3.0,3.0,3.0,3.0,2.0
458070109,2.0,3.0,3.0,3.0,3.0,2.0
458070110,1.0,1.0,2.0,2.0,2.0,1.0
458070111,1.0,3.0,3.0,4.0,3.0,3.0
458070112,1.0,4.0,3.0,2.0,2.0,2.0
458070113,1.0,3.0,2.0,2.0,1.0,2.0
458070114,3.0,3.0,3.0,3.0,3.0,3.0
458070115,2.0,2.0,3.0,2.0,2.0,2.0
458070116,1.0,3.0,3.0,3.0,3.0,3.0
458070117,1.0,3.0,3.0,3.0,3.0,3.0
458070118,1.0,3.0,2.0,2.0,3.0,2.0
458070119,1.0,2.0,2.0,1.0,2.0,2.0
458070120,1.0,3.0,1.0,2.0,2.0,2.0
458070121,1.0,3.0,3.0,3.0,3.0,3.0
458070122,1.0,4.0,4.0,3.0,4.0,3.0
458070123,1.0,2.0,2.0,3.0,1.0,2.0
458070124,1.0,2.0,1.0,1.0,2.0,1.0
458070125,1.0,4.0,3.0,3.0,3.0,3.0
458070126,1.0,4.0,4.0,4.0,4.0,4.0
458070127,1.0,4.0,3.0,4.0,3.0,3.0
458070128,1.0,1.0,2.0,2.0,2.0,2.0
458070129,1.0,1.0,2.0,2.0,2.0,1.0
458070130,1.0,1.0,1.0,2.0,2.0,2.0
458070131,1.0,3.0,2.0,2.0,2.0,2.0
458070132,1.0,4.0,3.0,3.0,3.0,3.0
458070133,1.0,1.0,1.0,1.0,1.0,1.0
458070134,2.0,3.0,3.0,3.0,3.0,1.0
458070135,2.0,3.0,3.0,3.0,3.0,3.0
458070136,2.0,3.0,3.0,3.0,2.0,2.0
458070137,1.0,3.0,4.0,4.0,4.0,1.0
458070138,1.0,3.0,4.0,4.0,4.0,2.0
458070139,1.0,4.0,4.0,4.0,4.0,1.0
458070140,2.0,4.0,4.0,4.0,4.0,2.0
458070141,1.0,4.0,4.0,4.0,4.0,1.0
458070142,1.0,1.0,2.0,2.0,1.0,2.0
458070143,1.0,1.0,2.0,2.0,2.0,2.0
458070144,1.0,2.0,2.0,1.0,1.0,2.0
458070145,1.0,4.0,3.0,4.0,3.0,3.0
458070146,1.0,4.0,2.0,3.0,3.0,3.0
458070147,2.0,2.0,1.0,2.0,2.0,2.0
458070148,1.0,1.0,1.0,1.0,1.0,1.0
458070149,1.0,1.0,4.0,3.0,4.0,4.0
458070150,2.0,2.0,3.0,3.0,3.0,3.0
458070151,2.0,4.0,2.0,2.0,3.0,3.0
458070152,1.0,1.0,1.0,1.0,1.0,1.0
458070153,1.0,1.0,1.0,3.0,3.0,3.0
458070154,1.0,2.0,3.0,3.0,3.0,4.0
458070155,2.0,3.0,3.0,3.0,3.0,2.0
458070156,1.0,3.0,2.0,2.0,2.0,2.0
458070157,1.0,3.0,2.0,2.0,2.0,2.0
458070158,1.0,3.0,2.0,2.0,2.0,2.0
458070159,1.0,3.0,3.0,3.0,2.0,2.0
458070160,1.0,2.0,2.0,3.0,3.0,2.0
458070161,1.0,3.0,1.0,3.0,3.0,3.0
458070162,1.0,1.0,1.0,1.0,1.0,1.0
458070163,2.0,1.0,1.0,2.0,2.0,1.0
458070164,1.0,2.0,3.0,3.0,3.0,2.0
458070165,1.0,3.0,2.0,2.0,2.0,2.0
458070166,1.0,3.0,3.0,3.0,3.0,2.0
458070167,1.0,3.0,1.0,3.0,3.0,3.0
458070168,1.0,3.0,2.0,3.0,3.0,1.0
458070169,2.0,1.0,3.0,3.0,2.0,1.0
458070170,1.0,3.0,3.0,3.0,3.0,1.0
458070171,1.0,3.0,2.0,2.0,2.0,2.0
458070172,1.0,3.0,3.0,1.0,1.0,1.0
458070173,1.0,4.0,1.0,2.0,2.0,2.0
458070174,1.0,3.0,2.0,2.0,2.0,2.0
458070175,1.0,3.0,3.0,3.0,3.0,3.0
458070176,2.0,3.0,2.0,2.0,2.0,3.0
458070177,1.0,2.0,2.0,2.0,1.0,2.0
458070178,1.0,2.0,3.0,3.0,3.0,4.0
458070179,2.0,1.0,2.0,2.0,2.0,3.0
458070180,1.0,2.0,2.0,2.0,1.0,1.0
458070181,1.0,3.0,1.0,1.0,1.0,2.0
458070182,1.0,3.0,2.0,3.0,3.0,2.0
458070183,1.0,1.0,1.0,2.0,2.0,1.0
458070184,1.0,1.0,1.0,2.0,2.0,2.0
458070185,2.0,1.0,2.0,3.0,2.0,2.0
458070186,1.0,2.0,3.0,3.0,2.0,3.0
458070187,1.0,2.0,1.0,2.0,2.0,2.0
458070188,1.0,2.0,2.0,2.0,2.0,3.0
458070189,3.0,2.0,2.0,1.0,2.0,2.0
458070190,2.0,4.0,4.0,3.0,3.0,4.0
458070191,3.0,3.0,2.0,3.0,4.0,4.0
458070192,1.0,4.0,4.0,3.0,3.0,4.0
458070193,2.0,1.0,2.0,2.0,1.0,1.0
458070194,1.0,3.0,3.0,3.0,3.0,2.0
458070195,2.0,2.0,3.0,3.0,3.0,3.0
458070196,2.0,1.0,1.0,2.0,2.0,2.0
458070197,1.0,1.0,2.0,2.0,2.0,2.0
458070198,2.0,1.0,2.0,2.0,2.0,2.0
458070199,1.0,1.0,1.0,1.0,1.0,1.0
458070200,2.0,2.0,2.0,2.0,2.0,2.0
