D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
458070001,4,4,4,4,4
458070002,4,4,4,4,4
458070003,4,4,4,4,4
458070004,2,1,4,2,4
458070005,4,4,4,4,4
458070006,4,3,4,4,4
458070007,2,1,2,2,2
458070008,4,4,2,2,4
458070009,4,4,4,4,4
458070010,2,3,2,2,3
458070011,4,4,4,4,4
458070012,3,2,3,2,4
458070013,4,4,4,4,4
458070014,4,3,4,4,4
458070015,4,4,4,4,4
458070016,4,3,4,4,4
458070017,4,2,4,4,4
458070018,4,3,4,3,4
458070019,4,3,3,4,4
458070020,3,3,2,4,4
458070021,4,4,4,4,4
458070022,4,2,4,3,4
458070023,4,4,4,4,4
458070024,4,4,4,4,4
458070025,4,4,4,4,4
458070026,4,4,4,3,4
458070027,4,4,4,4,4
458070028,4,4,4,4,4
458070029,4,4,3,4,4
458070030,3,2,3,3,4
458070031,4,4,4,4,4
458070032,4,3,4,4,4
458070033,4,4,4,4,4
458070034,4,4,4,4,4
458070035,4,4,3,4,4
458070036,4,4,4,4,4
458070037,4,4,4,4,4
458070038,4,4,4,4,4
458070039,4,4,4,4,4
458070040,2,4,4,4,4
458070041,4,4,4,4,4
458070042,4,4,4,4,4
458070043,4,4,4,4,4
458070044,4,2,4,4,4
458070045,3,3,4,4,4
458070046,4,4,4,4,4
458070047,4,2,4,4,4
458070048,2,1,2,2,4
458070049,4,4,4,4,4
458070050,4,4,4,4,4
458070051,4,4,4,4,4
458070052,4,4,4,4,4
458070053,4,3,4,4,4
458070054,4,4,4,4,4
458070055,4,4,4,4,4
458070056,4,3,3,3,4
458070057,4,4,4,4,4
458070058,4,4,4,4,4
458070059,4,3,4,4,4
458070060,4,3,4,4,4
458070061,4,4,4,4,4
458070062,4,4,4,4,4
458070063,4,4,4,4,4
458070064,4,3,3,4,4
458070065,3,2,3,3,4
458070066,1,2,3,4,4
458070067,4,4,4,4,4
458070068,4,3,4,4,4
458070069,4,4,4,3,4
458070070,3,3,3,3,4
458070071,4,4,4,4,4
458070072,4,4,4,4,4
458070073,4,4,4,4,4
458070074,4,4,4,4,4
458070075,4,2,4,4,4
458070076,4,3,4,4,4
458070077,4,2,4,4,4
458070078,2,1,3,3,1
458070079,1,1,3,2,1
458070080,4,4,4,4,4
458070081,1,3,3,4,3
458070082,4,4,4,4,4
458070083,3,3,4,2,4
458070084,4,4,4,4,4
458070085,4,3,4,3,4
458070086,4,4,4,4,4
458070087,4,3,4,3,4
458070088,4,3,4,4,4
458070089,4,4,4,4,4
458070090,4,4,4,4,4
458070091,4,4,4,4,4
458070092,4,4,4,4,4
458070093,4,4,4,4,4
458070094,4,4,4,4,4
458070095,3,1,3,2,4
458070096,2,2,2,2,2
458070097,4,3,4,4,4
458070098,3,2,2,2,4
458070099,3,3,2,4,4
458070100,4,4,4,4,4
458070101,4,4,4,4,4
458070102,4,4,4,4,4
458070103,4,4,4,4,4
458070104,4,4,4,4,4
458070105,4,4,4,4,4
458070106,3,2,3,4,4
