D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
458070001,4.0,4.0,4.0,4.0,4.0
458070002,4.0,4.0,4.0,4.0,4.0
458070003,4.0,4.0,4.0,4.0,4.0
458070004,2.0,1.0,4.0,2.0,4.0
458070005,4.0,4.0,4.0,4.0,4.0
458070006,4.0,3.0,4.0,4.0,4.0
458070007,2.0,1.0,2.0,2.0,2.0
458070008,4.0,4.0,2.0,2.0,4.0
458070009,4.0,4.0,4.0,4.0,4.0
458070010,2.0,3.0,2.0,2.0,3.0
458070011,4.0,4.0,4.0,4.0,4.0
458070012,3.0,2.0,3.0,2.0,4.0
458070013,4.0,4.0,4.0,4.0,4.0
458070014,4.0,3.0,4.0,4.0,4.0
458070015,4.0,4.0,4.0,4.0,4.0
458070016,4.0,3.0,4.0,4.0,4.0
458070017,4.0,2.0,4.0,4.0,4.0
458070018,4.0,3.0,4.0,3.0,4.0
458070019,4.0,3.0,3.0,4.0,4.0
458070020,3.0,3.0,2.0,4.0,4.0
458070021,4.0,4.0,4.0,4.0,4.0
458070022,4.0,2.0,4.0,3.0,4.0
458070023,4.0,4.0,4.0,4.0,4.0
458070024,4.0,4.0,4.0,4.0,4.0
458070025,4.0,4.0,4.0,4.0,4.0
458070026,4.0,4.0,4.0,3.0,4.0
458070027,4.0,4.0,4.0,4.0,4.0
458070028,4.0,4.0,4.0,4.0,4.0
458070029,4.0,4.0,3.0,4.0,4.0
458070030,3.0,2.0,3.0,3.0,4.0
458070031,4.0,4.0,4.0,4.0,4.0
458070032,4.0,3.0,4.0,4.0,4.0
458070033,4.0,4.0,4.0,4.0,4.0
458070034,4.0,4.0,4.0,4.0,4.0
458070035,4.0,4.0,3.0,4.0,4.0
458070036,4.0,4.0,4.0,4.0,4.0
458070037,4.0,4.0,4.0,4.0,4.0
458070038,4.0,4.0,4.0,4.0,4.0
458070039,4.0,4.0,4.0,4.0,4.0
458070040,2.0,4.0,4.0,4.0,4.0
458070041,4.0,4.0,4.0,4.0,4.0
458070042,4.0,4.0,4.0,4.0,4.0
458070043,4.0,4.0,4.0,4.0,4.0
458070044,4.0,2.0,4.0,4.0,4.0
458070045,3.0,3.0,4.0,4.0,4.0
458070046,4.0,4.0,4.0,4.0,4.0
458070047,4.0,2.0,4.0,4.0,4.0
458070048,2.0,1.0,2.0,2.0,4.0
458070049,4.0,4.0,4.0,4.0,4.0
458070050,4.0,4.0,4.0,4.0,4.0
458070051,4.0,4.0,4.0,4.0,4.0
458070052,4.0,4.0,4.0,4.0,4.0
458070053,4.0,3.0,4.0,4.0,4.0
458070054,4.0,4.0,4.0,4.0,4.0
458070055,4.0,4.0,4.0,4.0,4.0
458070056,4.0,3.0,3.0,3.0,4.0
458070057,4.0,4.0,4.0,4.0,4.0
458070058,4.0,4.0,4.0,4.0,4.0
458070059,4.0,3.0,4.0,4.0,4.0
458070060,4.0,3.0,4.0,4.0,4.0
458070061,4.0,4.0,4.0,4.0,4.0
458070062,4.0,4.0,4.0,4.0,4.0
458070063,4.0,4.0,4.0,4.0,4.0
458070064,4.0,3.0,3.0,4.0,4.0
458070065,3.0,2.0,3.0,3.0,4.0
458070066,1.0,2.0,3.0,4.0,4.0
458070067,4.0,4.0,4.0,4.0,4.0
458070068,4.0,3.0,4.0,4.0,4.0
458070069,4.0,4.0,4.0,3.0,4.0
458070070,3.0,3.0,3.0,3.0,4.0
458070071,4.0,4.0,4.0,4.0,4.0
458070072,4.0,4.0,4.0,4.0,4.0
458070073,4.0,4.0,4.0,4.0,4.0
458070074,4.0,4.0,4.0,4.0,4.0
458070075,4.0,2.0,4.0,4.0,4.0
458070076,4.0,3.0,4.0,4.0,4.0
458070077,4.0,2.0,4.0,4.0,4.0
458070078,2.0,1.0,3.0,3.0,1.0
458070079,1.0,1.0,3.0,2.0,1.0
458070080,4.0,4.0,4.0,4.0,4.0
458070081,1.0,3.0,3.0,4.0,3.0
458070082,4.0,4.0,4.0,4.0,4.0
458070083,3.0,3.0,4.0,2.0,4.0
458070084,4.0,4.0,4.0,4.0,4.0
458070085,4.0,3.0,4.0,3.0,4.0
458070086,4.0,4.0,4.0,4.0,4.0
458070087,4.0,3.0,4.0,3.0,4.0
458070088,4.0,3.0,4.0,4.0,4.0
458070089,4.0,4.0,4.0,4.0,4.0
458070090,4.0,4.0,4.0,4.0,4.0
458070091,4.0,4.0,4.0,4.0,4.0
458070092,4.0,4.0,4.0,4.0,4.0
458070093,4.0,4.0,4.0,4.0,4.0
458070094,4.0,4.0,4.0,4.0,4.0
458070095,3.0,1.0,3.0,2.0,4.0
458070096,2.0,2.0,2.0,2.0,2.0
458070097,4.0,3.0,4.0,4.0,4.0
458070098,3.0,2.0,2.0,2.0,4.0
458070099,3.0,3.0,2.0,4.0,4.0
458070100,4.0,4.0,4.0,4.0,4.0
458070101,4.0,4.0,4.0,4.0,4.0
458070102,4.0,4.0,4.0,4.0,4.0
458070103,4.0,4.0,4.0,4.0,4.0
458070104,4.0,4.0,4.0,4.0,4.0
458070105,4.0,4.0,4.0,4.0,4.0
458070106,3.0,2.0,3.0,4.0,4.0
458070107,3.0,4.0,3.0,4.0,4.0
458070108,3.0,2.0,3.0,3.0,3.0
458070109,3.0,3.0,3.0,3.0,3.0
458070110,4.0,2.0,4.0,4.0,4.0
458070111,4.0,4.0,4.0,4.0,4.0
458070112,4.0,3.0,3.0,3.0,4.0
458070113,4.0,4.0,4.0,3.0,4.0
458070114,3.0,3.0,3.0,3.0,4.0
458070115,4.0,4.0,4.0,4.0,4.0
458070116,4.0,4.0,4.0,4.0,4.0
458070117,4.0,4.0,4.0,4.0,4.0
458070118,4.0,4.0,4.0,4.0,4.0
458070119,4.0,4.0,4.0,3.0,4.0
458070120,4.0,3.0,4.0,4.0,4.0
458070121,4.0,4.0,4.0,4.0,4.0
458070122,4.0,4.0,4.0,4.0,4.0
458070123,4.0,4.0,4.0,4.0,4.0
458070124,4.0,4.0,4.0,4.0,4.0
458070125,4.0,2.0,3.0,4.0,4.0
458070126,4.0,3.0,4.0,4.0,4.0
458070127,4.0,3.0,3.0,4.0,4.0
458070128,2.0,2.0,3.0,3.0,3.0
458070129,4.0,4.0,4.0,4.0,4.0
458070130,4.0,4.0,4.0,4.0,4.0
458070131,4.0,4.0,4.0,4.0,4.0
458070132,4.0,4.0,4.0,4.0,4.0
458070133,4.0,4.0,4.0,4.0,4.0
458070134,4.0,4.0,4.0,3.0,4.0
458070135,4.0,4.0,4.0,4.0,4.0
458070136,4.0,3.0,4.0,2.0,4.0
458070137,4.0,4.0,4.0,4.0,4.0
458070138,4.0,4.0,4.0,4.0,4.0
458070139,4.0,4.0,4.0,4.0,4.0
458070140,4.0,4.0,4.0,4.0,4.0
458070141,4.0,4.0,4.0,4.0,4.0
458070142,4.0,4.0,4.0,4.0,4.0
458070143,4.0,4.0,4.0,4.0,4.0
458070144,4.0,4.0,4.0,4.0,4.0
458070145,3.0,3.0,4.0,4.0,4.0
458070146,4.0,4.0,4.0,4.0,4.0
458070147,4.0,4.0,4.0,4.0,4.0
458070148,4.0,4.0,4.0,4.0,4.0
458070149,4.0,4.0,4.0,4.0,4.0
458070150,4.0,4.0,4.0,4.0,4.0
458070151,4.0,4.0,4.0,4.0,4.0
458070152,4.0,4.0,4.0,4.0,4.0
458070153,4.0,4.0,4.0,4.0,4.0
458070154,4.0,4.0,4.0,4.0,4.0
458070155,3.0,1.0,2.0,3.0,4.0
458070156,4.0,4.0,4.0,4.0,4.0
458070157,4.0,4.0,4.0,4.0,4.0
458070158,4.0,4.0,4.0,4.0,4.0
458070159,4.0,4.0,4.0,3.0,4.0
458070160,4.0,4.0,4.0,4.0,4.0
458070161,4.0,4.0,4.0,4.0,4.0
458070162,3.0,4.0,4.0,4.0,4.0
458070163,4.0,4.0,4.0,4.0,4.0
458070164,3.0,4.0,4.0,4.0,4.0
458070165,4.0,4.0,4.0,4.0,4.0
458070166,4.0,4.0,4.0,4.0,4.0
458070167,4.0,2.0,4.0,4.0,4.0
458070168,3.0,4.0,4.0,2.0,4.0
458070169,4.0,4.0,4.0,4.0,4.0
458070170,4.0,4.0,4.0,4.0,4.0
458070171,4.0,4.0,4.0,4.0,4.0
458070172,4.0,4.0,4.0,4.0,4.0
458070173,4.0,4.0,3.0,3.0,4.0
458070174,4.0,4.0,4.0,4.0,4.0
458070175,4.0,4.0,4.0,4.0,4.0
458070176,4.0,3.0,4.0,4.0,4.0
458070177,4.0,4.0,4.0,4.0,4.0
458070178,4.0,4.0,4.0,4.0,4.0
458070179,3.0,4.0,4.0,4.0,4.0
458070180,4.0,4.0,4.0,4.0,4.0
458070181,3.0,2.0,3.0,1.0,4.0
458070182,4.0,2.0,4.0,2.0,4.0
458070183,4.0,4.0,4.0,4.0,4.0
458070184,4.0,4.0,4.0,4.0,4.0
458070185,4.0,4.0,4.0,4.0,4.0
458070186,4.0,4.0,4.0,4.0,4.0
458070187,2.0,1.0,2.0,3.0,2.0
458070188,4.0,4.0,4.0,4.0,4.0
458070189,4.0,3.0,3.0,3.0,4.0
458070190,4.0,4.0,4.0,4.0,4.0
458070191,4.0,4.0,4.0,4.0,4.0
458070192,4.0,4.0,4.0,4.0,4.0
458070193,4.0,4.0,4.0,4.0,4.0
458070194,3.0,3.0,3.0,3.0,4.0
458070195,4.0,4.0,4.0,4.0,4.0
458070196,3.0,3.0,3.0,4.0,4.0
458070197,4.0,4.0,4.0,4.0,4.0
458070198,4.0,4.0,4.0,4.0,4.0
458070199,3.0,3.0,3.0,3.0,3.0
458070200,3.0,3.0,3.0,3.0,3.0
458070201,2.0,2.0,2.0,2.0,2.0
458070202,3.0,3.0,3.0,3.0,3.0
458070203,3.0,3.0,3.0,3.0,3.0
458070204,3.0,3.0,3.0,2.0,3.0
458070205,4.0,4.0,4.0,4.0,4.0
458070206,4.0,4.0,4.0,4.0,4.0
458070207,4.0,4.0,4.0,3.0,4.0
458070208,4.0,4.0,4.0,4.0,4.0
458070209,4.0,4.0,4.0,4.0,4.0
458070210,4.0,4.0,3.0,4.0,4.0
458070211,4.0,4.0,3.0,3.0,4.0
458070212,4.0,2.0,3.0,3.0,4.0
458070213,4.0,4.0,4.0,4.0,4.0
458070214,3.0,3.0,4.0,4.0,4.0
458070215,4.0,4.0,4.0,4.0,4.0
458070216,4.0,4.0,4.0,4.0,4.0
458070217,4.0,4.0,4.0,4.0,4.0
458070218,4.0,3.0,3.0,2.0,4.0
458070219,4.0,2.0,3.0,3.0,4.0
458070220,4.0,2.0,3.0,2.0,4.0
458070221,4.0,4.0,4.0,4.0,4.0
458070222,4.0,4.0,4.0,4.0,4.0
458070223,4.0,2.0,3.0,2.0,4.0
458070224,4.0,4.0,4.0,4.0,4.0
458070225,4.0,4.0,4.0,4.0,4.0
458070226,4.0,4.0,4.0,4.0,4.0
458070227,4.0,4.0,4.0,4.0,4.0
458070228,2.0,1.0,1.0,2.0,2.0
458070229,4.0,2.0,4.0,2.0,4.0
458070230,1.0,1.0,3.0,2.0,4.0
458070231,4.0,2.0,4.0,4.0,4.0
458070232,4.0,3.0,3.0,4.0,4.0
458070233,4.0,3.0,4.0,4.0,4.0
458070234,4.0,4.0,4.0,4.0,4.0
458070235,4.0,3.0,4.0,4.0,4.0
458070236,4.0,2.0,4.0,4.0,4.0
458070237,4.0,4.0,4.0,4.0,4.0
458070238,4.0,4.0,4.0,3.0,4.0
458070239,4.0,4.0,4.0,4.0,4.0
458070240,4.0,2.0,2.0,1.0,4.0
458070241,4.0,4.0,4.0,4.0,4.0
458070242,4.0,4.0,4.0,4.0,4.0
458070243,4.0,4.0,4.0,3.0,4.0
458070244,4.0,4.0,4.0,4.0,4.0
458070245,4.0,4.0,2.0,4.0,4.0
458070246,4.0,3.0,3.0,4.0,4.0
458070247,4.0,4.0,4.0,4.0,4.0
458070248,4.0,3.0,3.0,2.0,4.0
458070249,4.0,3.0,4.0,4.0,4.0
458070250,4.0,4.0,3.0,2.0,4.0
458070251,4.0,4.0,4.0,4.0,4.0
458070252,4.0,3.0,4.0,3.0,4.0
458070253,3.0,3.0,3.0,3.0,4.0
458070254,3.0,3.0,3.0,3.0,3.0
458070255,4.0,4.0,4.0,4.0,4.0
458070256,4.0,4.0,4.0,4.0,4.0
458070257,4.0,4.0,4.0,4.0,4.0
458070258,4.0,2.0,3.0,3.0,4.0
458070259,4.0,4.0,4.0,4.0,4.0
458070260,4.0,4.0,4.0,4.0,4.0
458070261,1.0,1.0,1.0,1.0,1.0
458070262,4.0,4.0,4.0,4.0,4.0
458070263,4.0,4.0,1.0,4.0,4.0
458070264,4.0,4.0,4.0,4.0,4.0
458070265,4.0,3.0,3.0,4.0,4.0
458070266,4.0,4.0,3.0,4.0,4.0
458070267,4.0,4.0,4.0,4.0,4.0
458070268,4.0,4.0,4.0,4.0,4.0
458070269,4.0,4.0,4.0,4.0,4.0
458070270,4.0,4.0,4.0,4.0,4.0
458070271,4.0,4.0,4.0,4.0,4.0
458070272,4.0,3.0,4.0,3.0,4.0
458070273,4.0,4.0,4.0,4.0,4.0
458070274,4.0,4.0,4.0,4.0,4.0
458070275,4.0,3.0,3.0,4.0,4.0
458070276,3.0,3.0,3.0,3.0,3.0
458070277,4.0,4.0,4.0,4.0,4.0
458070278,4.0,4.0,4.0,4.0,4.0
458070279,4.0,3.0,4.0,3.0,2.0
458070280,4.0,4.0,4.0,4.0,4.0
458070281,4.0,3.0,4.0,4.0,4.0
458070282,4.0,4.0,4.0,4.0,4.0
458070283,4.0,4.0,4.0,4.0,4.0
458070284,4.0,4.0,4.0,4.0,4.0
458070285,4.0,3.0,4.0,4.0,4.0
458070286,3.0,3.0,3.0,3.0,3.0
458070287,4.0,4.0,4.0,4.0,4.0
458070288,4.0,4.0,4.0,4.0,4.0
458070289,3.0,3.0,3.0,3.0,3.0
458070290,4.0,4.0,4.0,4.0,4.0
458070291,4.0,3.0,4.0,4.0,4.0
458070292,4.0,3.0,3.0,3.0,4.0
458070293,4.0,3.0,3.0,3.0,4.0
458070294,4.0,4.0,4.0,4.0,4.0
458070295,4.0,4.0,4.0,4.0,4.0
458070296,4.0,4.0,4.0,4.0,4.0
458070297,4.0,4.0,4.0,4.0,4.0
458070298,4.0,4.0,4.0,4.0,4.0
458070299,4.0,4.0,4.0,4.0,4.0
458070300,4.0,4.0,4.0,3.0,4.0
458070301,3.0,2.0,4.0,4.0,4.0
458070302,4.0,4.0,4.0,4.0,4.0
458070303,2.0,2.0,2.0,2.0,2.0
458070304,4.0,3.0,4.0,3.0,4.0
458070305,4.0,4.0,4.0,4.0,4.0
458070306,4.0,4.0,3.0,3.0,4.0
458070307,4.0,3.0,4.0,4.0,4.0
458070308,1.0,2.0,2.0,3.0,2.0
458070309,4.0,3.0,3.0,4.0,4.0
458070310,4.0,3.0,4.0,3.0,4.0
458070311,4.0,4.0,1.0,2.0,4.0
458070312,4.0,4.0,4.0,4.0,4.0
458070313,4.0,4.0,4.0,4.0,4.0
458070314,2.0,2.0,3.0,3.0,2.0
458070315,4.0,3.0,4.0,3.0,4.0
458070316,4.0,3.0,3.0,3.0,4.0
458070317,4.0,3.0,2.0,4.0,4.0
458070318,4.0,4.0,3.0,3.0,4.0
