D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
528070001,-5,-5,-5,-5,-5,-5,-5
528070002,4,2,4,3,3,4,4
528070003,3,4,4,3,3,4,4
528070004,-1,4,4,4,-1,4,4
528070005,-1,-1,-1,-1,-1,-1,-1
528070006,4,1,3,3,2,3,3
528070007,4,4,4,3,4,4,4
528070008,-1,-1,-1,-1,-1,-1,-1
528070009,4,3,4,4,3,4,4
528070010,4,4,4,4,4,4,4
528070011,3,3,4,4,4,4,4
528070012,4,4,4,4,4,4,4
528070013,3,3,3,3,-1,2,2
528070014,4,4,4,4,4,4,4
528070015,4,4,4,4,4,4,4
528070016,3,3,3,3,3,3,3
528070017,4,4,4,4,4,4,4
528070018,3,4,3,1,3,3,3
528070019,-5,-5,-5,-5,-5,-5,-5
528070020,2,4,3,2,2,1,2
528070021,3,3,4,2,3,3,3
528070022,4,4,4,4,4,4,4
528070023,3,3,4,3,3,4,4
528070024,4,4,4,4,4,4,4
528070025,4,4,4,4,4,4,4
528070026,3,2,3,3,3,3,3
528070027,3,4,4,3,3,3,-1
528070028,-1,2,-1,2,2,2,2
528070029,3,1,2,2,2,3,2
528070030,3,3,4,4,4,4,-1
528070031,3,3,3,3,3,3,3
528070032,2,3,-1,-2,2,-1,-1
528070033,4,4,4,3,4,4,4
528070034,-5,-5,-5,-5,-5,-5,-5
528070035,4,4,4,4,4,4,4
528070036,3,3,3,3,4,4,3
528070037,3,-1,-1,3,-1,3,4
528070038,4,4,4,4,3,4,4
528070039,4,3,4,3,3,3,-1
528070040,4,4,4,4,4,4,4
528070041,3,3,3,3,3,3,3
528070042,4,4,4,4,4,4,4
528070043,-1,-1,-1,-1,-1,-1,-1
528070044,4,4,4,4,4,4,4
528070045,-1,-1,-1,-1,-1,-1,-1
528070046,-1,-1,3,-1,1,-1,-1
528070047,3,3,3,3,4,4,4
528070048,4,2,4,4,-1,4,4
528070049,-5,-5,-5,-5,-5,-5,-5
528070050,3,2,4,3,3,3,3
528070051,3,3,4,4,2,3,-1
528070052,3,2,3,2,2,2,-1
528070053,4,4,4,4,4,4,4
528070054,4,4,4,4,4,4,4
528070055,4,2,4,3,3,3,-1
528070056,3,2,4,3,3,3,-1
528070057,4,4,4,4,3,4,4
528070058,2,1,3,2,2,2,2
528070059,3,3,3,4,3,4,-1
528070060,3,-1,-1,-1,-1,-1,-1
528070061,4,2,4,4,3,4,3
528070062,2,-1,-1,1,1,1,2
528070063,4,4,4,4,4,4,4
528070064,-1,-1,-1,-1,-1,-1,-1
528070065,3,3,3,3,4,4,3
528070066,3,1,3,2,3,3,3
528070067,4,4,4,4,4,4,4
528070068,4,4,4,4,-1,-1,-1
528070069,3,3,3,3,3,3,3
528070070,4,-1,-1,-1,-1,4,-1
528070071,4,1,4,4,3,4,3
528070072,-5,-5,-5,-5,-5,-5,-5
528070073,3,4,3,2,3,3,3
528070074,4,3,4,3,3,4,3
528070075,3,3,4,4,3,3,-1
528070076,3,2,3,3,3,3,3
528070077,4,4,4,4,3,3,3
528070078,4,3,4,4,3,3,3
528070079,2,2,1,2,2,2,-1
528070080,3,-1,4,3,-1,-1,-1
528070081,2,3,3,3,2,2,3
528070082,3,2,3,3,3,3,3
528070083,4,4,4,4,4,4,4
528070084,4,2,4,3,4,4,4
528070085,4,4,4,4,4,4,4
528070086,4,4,4,3,-1,3,3
528070087,4,3,4,3,2,4,4
528070088,2,3,4,4,2,2,2
528070089,3,2,4,4,-1,-1,-1
528070090,3,1,4,3,2,3,4
528070091,4,4,3,2,2,3,3
528070092,3,2,4,3,2,4,3
528070093,2,3,2,3,2,2,2
528070094,3,1,4,2,2,3,3
528070095,4,4,4,4,4,4,4
528070096,4,4,4,4,4,4,4
528070097,4,4,4,4,4,4,4
528070098,4,4,4,-1,-1,4,4
528070099,4,3,3,3,3,4,3
528070100,3,3,3,3,3,3,3
528070101,3,3,4,2,3,3,2
528070102,3,3,4,3,3,3,3
528070103,3,3,4,4,4,4,4
528070104,2,3,3,3,3,3,3
528070105,3,3,4,3,4,4,-1
528070106,4,2,4,3,3,3,2
528070107,3,2,4,4,3,4,4
528070108,-5,-5,-5,-5,-5,-5,-5
528070109,3,3,3,-1,2,2,2
528070110,3,4,4,4,3,4,4
528070111,4,4,4,4,4,4,4
528070112,3,4,3,4,4,4,-1
528070113,-5,-5,-5,-5,-5,-5,-5
528070114,4,4,4,4,4,4,4
528070115,-1,-1,-1,-1,-1,-1,-1
528070116,-1,2,4,2,2,3,-1
528070117,-1,4,2,-1,2,3,-1
528070118,4,3,3,3,2,3,3
528070119,4,3,4,4,4,4,4
528070120,4,4,4,4,3,4,4
528070121,3,3,3,3,3,3,3
528070122,3,3,4,3,3,4,3
528070123,4,3,4,4,4,4,4
528070124,4,4,4,4,4,4,4
528070125,-1,-1,4,-1,-1,4,4
528070126,4,4,3,4,3,4,4
528070127,4,3,3,3,4,3,3
528070128,3,2,4,3,3,3,2
528070129,3,3,4,4,2,3,3
528070130,4,3,4,3,3,3,3
528070131,3,3,4,3,3,4,4
528070132,4,-1,4,-1,3,3,-1
528070133,-2,-1,-1,-1,-1,-1,-1
528070134,3,4,4,3,3,3,3
528070135,4,2,4,3,4,4,4
528070136,4,3,4,3,4,4,4
528070137,4,3,4,3,3,2,-1
528070138,3,3,3,3,3,3,3
528070139,3,-1,4,-1,4,3,-1
528070140,3,3,3,3,4,4,4
528070141,3,2,3,3,3,3,3
528070142,3,3,3,3,3,4,4
528070143,4,3,4,4,3,4,4
528070144,4,4,4,4,4,4,4
528070145,3,3,3,3,3,3,3
528070146,3,3,3,4,4,4,4
528070147,3,3,4,3,2,4,-1
528070148,3,-1,-1,-1,-1,-1,-1
528070149,4,4,4,4,4,4,4
528070150,2,2,3,2,3,3,3
528070151,3,2,4,4,4,4,4
528070152,3,2,3,3,3,3,3
528070153,4,4,4,4,4,4,4
528070154,-1,-1,-1,-1,-1,-1,-1
528070155,4,4,4,4,4,4,4
528070156,4,4,4,4,4,4,4
528070157,4,3,4,4,4,4,4
528070158,3,3,3,3,3,3,3
528070159,4,4,4,4,4,4,4
528070160,4,4,4,4,4,4,-1
528070161,3,3,3,3,3,3,3
528070162,4,4,4,3,4,4,4
528070163,4,3,3,4,4,4,4
528070164,4,3,4,3,4,4,3
528070165,3,3,4,3,3,4,3
528070166,-1,-1,-1,-1,-1,-1,-1
528070167,3,3,4,3,4,3,3
528070168,4,4,4,-1,4,4,-1
