D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
528070001,1,1,2,2,2,2
528070002,1,1,1,2,1,2
528070003,1,2,2,3,2,2
528070004,1,1,1,2,2,2
528070005,1,3,2,3,-2,-1
528070006,1,1,1,2,-5,-5
528070007,1,1,1,1,1,1
528070008,1,-2,-2,-2,-2,-2
528070009,1,2,2,2,2,2
528070010,1,1,1,2,1,1
528070011,1,3,1,2,1,1
528070012,1,1,1,2,2,2
528070013,1,1,1,2,2,2
528070014,1,1,1,2,2,2
528070015,1,1,1,2,2,1
528070016,1,2,1,2,2,2
528070017,1,1,1,3,3,3
528070018,2,3,2,4,3,4
528070019,1,1,1,2,2,2
528070020,1,-1,1,-1,-1,-1
528070021,1,2,2,3,3,3
528070022,1,2,1,3,2,2
528070023,1,1,1,2,2,3
528070024,1,1,1,2,2,2
528070025,1,2,2,2,2,2
528070026,1,1,1,2,2,2
528070027,1,1,1,2,-1,-1
528070028,1,1,1,3,-1,-1
528070029,1,1,1,3,2,2
528070030,1,2,1,2,2,2
528070031,1,1,2,3,3,3
528070032,-2,-2,-2,-1,-2,-2
528070033,1,1,1,2,-1,1
528070034,1,2,1,2,2,2
528070035,1,1,1,2,2,2
528070036,1,1,1,2,2,2
528070037,1,2,2,3,2,2
528070038,1,1,1,2,-5,2
528070039,1,2,2,2,2,2
528070040,1,2,2,3,3,3
528070041,1,2,2,3,3,2
528070042,1,1,1,1,1,1
528070043,-1,-1,-1,-1,-1,-1
528070044,2,2,2,2,2,2
528070045,3,2,1,3,-5,-5
528070046,1,2,1,-1,-1,-1
528070047,1,1,1,2,1,2
528070048,1,2,2,2,-5,-5
528070049,-5,-5,-5,-5,-5,-5
528070050,1,1,1,2,3,3
528070051,1,2,2,3,-5,-5
528070052,1,3,2,3,3,2
528070053,1,1,1,2,1,1
528070054,2,2,1,2,2,2
528070055,1,2,1,1,1,1
528070056,1,1,1,2,2,2
528070057,1,1,1,2,2,2
528070058,1,1,1,2,2,2
528070059,2,2,1,3,-1,-1
528070060,1,1,1,2,2,2
528070061,1,2,1,2,2,2
528070062,1,2,2,2,2,2
528070063,1,1,1,2,2,2
528070064,1,3,2,4,3,3
528070065,1,2,1,2,2,2
528070066,1,2,2,2,2,2
528070067,3,2,1,3,2,2
528070068,1,1,1,2,1,2
528070069,1,1,1,2,1,1
528070070,1,2,1,2,1,2
528070071,1,2,1,3,-5,-5
528070072,-5,-5,-5,-5,-5,-5
528070073,1,1,1,-1,-1,-1
528070074,3,2,2,-1,2,2
528070075,1,1,1,2,2,2
528070076,2,2,2,2,2,2
528070077,1,1,1,2,2,2
528070078,1,2,1,2,2,2
528070079,3,-5,1,3,-1,-1
528070080,1,1,1,-1,1,1
528070081,2,2,2,2,2,2
528070082,1,2,2,3,3,3
528070083,1,1,1,2,-5,2
528070084,1,1,1,2,1,1
528070085,1,1,1,2,1,1
528070086,1,3,1,3,-1,4
528070087,2,2,1,2,2,2
528070088,1,2,1,2,2,2
528070089,1,-1,-2,4,-1,-5
528070090,1,2,1,3,1,1
528070091,1,2,1,1,1,1
528070092,2,2,2,3,3,2
528070093,1,2,2,2,2,2
528070094,2,2,1,2,2,2
528070095,1,3,2,3,2,2
528070096,1,1,1,-1,1,-1
528070097,1,2,1,1,1,2
528070098,1,1,1,1,1,1
528070099,1,2,1,3,2,2
528070100,1,2,1,2,2,2
528070101,1,2,1,2,2,2
528070102,1,2,1,2,2,2
528070103,1,1,1,2,2,2
528070104,1,2,1,3,2,2
528070105,1,2,1,2,2,2
528070106,1,1,1,2,-5,-5
528070107,1,1,1,2,1,2
528070108,-5,-5,-5,-5,-5,-5
528070109,-5,2,1,4,3,2
528070110,1,1,1,2,1,2
528070111,1,1,2,2,2,2
528070112,1,2,2,3,2,4
528070113,1,1,2,2,2,2
528070114,1,3,2,4,3,4
528070115,1,2,2,2,-5,2
528070116,1,3,1,2,-5,-5
528070117,1,4,1,2,1,-1
528070118,1,2,2,2,2,2
528070119,1,1,-1,1,1,1
528070120,1,1,1,2,1,1
528070121,1,2,1,2,2,2
528070122,-1,2,1,3,-1,2
528070123,2,2,1,2,1,1
528070124,1,1,1,2,1,1
528070125,-1,-1,-2,-1,-1,-1
528070126,1,1,1,2,1,1
528070127,1,1,1,2,1,1
528070128,1,1,1,2,2,2
528070129,1,1,1,2,3,2
528070130,3,2,2,3,-5,2
528070131,2,2,2,2,2,2
528070132,2,3,2,4,-1,-1
528070133,-2,-2,-2,-2,-2,-2
528070134,1,2,1,2,2,3
528070135,2,2,1,2,3,2
