D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
528070001,8.0,-1.0,6.0,3.0,3.0
528070002,5.0,6.0,8.0,4.0,4.0
528070003,3.0,3.0,2.0,4.0,5.0
528070004,5.0,3.0,3.0,4.0,5.0
528070005,-1.0,-1.0,-1.0,-1.0,-1.0
528070006,9.0,5.0,6.0,2.0,4.0
528070007,3.0,7.0,4.0,4.0,3.0
528070008,8.0,-1.0,-1.0,-1.0,-1.0
528070009,5.0,4.0,7.0,4.0,4.0
528070010,5.0,7.0,6.0,6.0,6.0
528070011,7.0,8.0,7.0,5.0,7.0
528070012,8.0,2.0,8.0,1.0,2.0
528070013,6.0,5.0,4.0,4.0,3.0
528070014,1.0,-1.0,3.0,7.0,5.0
528070015,8.0,2.0,4.0,2.0,2.0
528070016,4.0,7.0,5.0,5.0,4.0
528070017,6.0,3.0,5.0,7.0,7.0
528070018,8.0,1.0,10.0,8.0,3.0
528070019,7.0,7.0,4.0,5.0,4.0
528070020,7.0,-1.0,10.0,7.0,7.0
528070021,8.0,4.0,4.0,5.0,3.0
528070022,3.0,3.0,3.0,5.0,10.0
528070023,2.0,-1.0,10.0,5.0,1.0
528070024,9.0,5.0,8.0,-1.0,3.0
528070025,6.0,4.0,4.0,5.0,8.0
528070026,7.0,6.0,7.0,4.0,4.0
528070027,6.0,5.0,5.0,5.0,3.0
528070028,5.0,5.0,5.0,5.0,10.0
528070029,3.0,5.0,6.0,3.0,3.0
528070030,7.0,3.0,7.0,3.0,4.0
528070031,5.0,5.0,3.0,8.0,5.0
528070032,-1.0,-2.0,-1.0,-2.0,-2.0
528070033,-1.0,-1.0,5.0,5.0,-1.0
528070034,-5.0,-5.0,-5.0,-5.0,-5.0
528070035,6.0,4.0,4.0,2.0,4.0
528070036,6.0,6.0,3.0,5.0,7.0
528070037,8.0,5.0,7.0,5.0,7.0
528070038,6.0,7.0,6.0,9.0,8.0
528070039,5.0,6.0,5.0,4.0,4.0
528070040,5.0,5.0,8.0,8.0,1.0
528070041,6.0,6.0,7.0,7.0,6.0
528070042,4.0,6.0,4.0,8.0,2.0
528070043,-1.0,-1.0,-1.0,-1.0,-1.0
528070044,5.0,6.0,6.0,5.0,5.0
528070045,4.0,-1.0,4.0,6.0,5.0
528070046,1.0,1.0,1.0,-1.0,-1.0
528070047,4.0,4.0,3.0,1.0,2.0
528070048,3.0,-1.0,5.0,3.0,-1.0
