D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
392070001,1,2,2,2,1
392070002,2,2,2,1,1
392070003,2,-1,2,2,2
392070004,4,4,4,3,4
392070005,-1,2,-1,2,-1
392070006,4,4,4,4,4
392070007,-1,-1,2,-1,-1
392070008,2,2,2,2,2
392070009,3,3,3,3,3
392070010,2,2,2,2,2
392070011,2,2,2,2,2
392070012,2,2,2,2,-1
392070013,2,2,2,2,2
392070014,2,2,2,-1,2
392070015,2,2,2,2,2
392070016,2,3,2,2,2
392070017,-1,2,2,2,2
392070018,2,2,2,1,2
392070019,-1,-1,-1,-1,-1
392070020,-1,-1,-1,-1,-1
392070021,-1,-1,-1,-1,-1
392070022,-1,-1,-1,1,1
392070023,3,3,3,3,3
392070024,2,2,2,2,2
392070025,-1,-1,-1,-1,-1
392070026,2,2,2,3,-1
392070027,2,2,2,2,2
392070028,3,2,2,2,2
392070029,2,2,2,2,2
392070030,2,2,2,2,2
392070031,2,2,2,2,2
392070032,2,2,-1,2,2
392070033,2,2,2,2,2
392070034,-1,-1,-1,-1,-1
392070035,2,3,2,2,2
392070036,-1,2,2,2,2
392070037,2,2,2,1,2
392070038,2,2,2,2,2
392070039,3,3,2,2,3
392070040,2,2,2,2,2
392070041,3,3,3,3,3
392070042,3,3,-1,2,2
392070043,-1,2,3,2,2
392070044,2,3,2,2,3
392070045,2,3,2,2,2
392070046,2,3,3,3,3
392070047,-1,-1,-1,-1,-1
392070048,2,3,3,2,2
392070049,2,2,2,3,3
392070050,2,-1,-1,-1,-1
392070051,-1,-1,-1,-1,-1
392070052,2,2,2,2,2
392070053,2,2,2,2,2
392070054,3,2,2,2,-1
392070055,2,3,2,2,3
392070056,-1,3,2,2,2
392070057,2,2,2,2,2
392070058,2,2,2,2,2
392070059,2,2,2,2,3
392070060,3,3,3,3,4
392070061,2,2,2,2,2
392070062,2,3,2,2,-1
392070063,-1,3,2,2,2
392070064,-1,2,-1,-1,-1
392070065,2,3,2,2,2
392070066,2,2,2,-1,2
392070067,2,2,2,2,2
392070068,2,2,2,2,2
392070069,2,2,2,2,-1
392070070,2,2,2,2,2
392070071,2,2,2,2,2
392070072,-1,-1,-1,-1,-1
392070073,3,2,3,4,4
392070074,2,2,2,2,2
392070075,-1,-1,-1,-1,-1
392070076,2,2,2,2,2
392070077,3,3,2,2,2
392070078,2,3,3,2,2
392070079,-1,-1,-1,-1,-1
392070080,2,3,2,2,3
392070081,-1,-1,-1,-1,-1
392070082,2,3,1,2,4
392070083,-1,-1,-1,-1,-1
392070084,2,2,2,2,2
392070085,2,3,2,2,2
392070086,3,3,3,2,3
392070087,2,2,2,2,-1
392070088,-1,-1,-1,-1,-1
392070089,2,2,2,2,2
392070090,-1,2,2,2,2
392070091,2,3,3,2,3
392070092,3,2,2,2,2
392070093,2,2,2,2,2
392070094,2,2,2,2,2
392070095,3,3,-1,-1,2
392070096,3,3,3,3,3
392070097,2,2,-1,2,2
392070098,2,3,2,2,2
392070099,2,2,2,2,3
392070100,2,2,2,2,2
392070101,2,3,2,2,3
392070102,2,2,2,2,2
392070103,-1,-1,-1,-1,-1
392070104,3,3,3,3,3
392070105,2,2,2,2,2
392070106,2,2,-1,-1,2
392070107,2,2,2,2,2
392070108,1,1,1,1,1
392070109,2,2,2,2,2
392070110,2,2,2,2,2
392070111,-1,-1,-1,-1,-1
392070112,2,2,2,2,2
392070113,-1,-1,-1,-1,-1
392070114,-1,-1,-1,-1,-1
392070115,2,2,2,2,2
392070116,4,3,3,3,-1
392070117,3,2,2,2,3
