D_INTERVIEW,Q165,Q166,Q167,Q168
528070001,-5,-5,-5,-5
528070002,1,1,2,2
528070003,2,1,2,2
528070004,2,2,2,2
528070005,-1,-1,-1,-1
528070006,1,1,1,1
528070007,2,2,2,2
528070008,-2,-2,-2,-2
528070009,2,2,2,2
528070010,1,-1,-1,-1
528070011,1,1,2,1
528070012,2,2,2,2
528070013,2,2,2,2
528070014,2,2,2,2
528070015,2,2,2,2
528070016,1,2,2,2
528070017,1,1,1,1
528070018,1,1,1,1
528070019,2,1,2,2
528070020,-1,-1,-1,-1
528070021,1,1,2,2
528070022,1,2,2,2
528070023,1,-1,2,-1
528070024,1,-1,-1,1
528070025,1,1,2,1
528070026,-1,-1,-1,-1
528070027,2,2,2,2
528070028,1,1,2,1
528070029,2,1,2,2
528070030,2,2,2,2
528070031,-1,-1,-1,-1
528070032,-2,-2,-2,-2
528070033,1,-1,2,-1
528070034,-5,-5,-5,-5
528070035,2,2,2,2
528070036,2,2,2,2
528070037,1,-1,-1,-1
528070038,2,2,2,2
528070039,2,2,2,2
528070040,2,1,2,2
528070041,2,2,2,2
528070042,1,1,2,1
528070043,-1,-1,-1,-1
528070044,1,1,1,1
528070045,2,1,-1,-1
528070046,2,-1,2,-1
528070047,1,1,1,1
528070048,2,2,2,2
528070049,-5,-5,-5,-5
528070050,-1,1,2,2
528070051,2,2,2,2
528070052,2,2,2,2
528070053,2,1,2,2
528070054,2,-1,2,2
528070055,2,2,2,2
528070056,1,2,2,-1
528070057,2,2,2,2
528070058,-1,-1,2,2
528070059,-1,2,2,2
528070060,2,2,2,2
528070061,2,-1,2,2
528070062,1,1,1,1
528070063,2,-1,2,2
528070064,1,1,1,1
528070065,1,1,1,1
528070066,2,2,2,2
528070067,2,2,2,2
528070068,1,1,-1,1
528070069,2,2,2,2
528070070,-5,-1,2,2
528070071,1,-1,-1,-1
528070072,-5,-5,-5,-5
528070073,2,-1,2,-1
528070074,1,-1,-1,-1
528070075,2,2,2,2
528070076,2,1,-1,-1
528070077,1,1,2,2
528070078,2,2,2,2
528070079,1,1,1,1
528070080,1,1,2,-1
528070081,2,2,2,2
528070082,2,2,2,2
528070083,2,1,2,2
528070084,2,2,2,2
528070085,1,2,2,2
528070086,2,-1,-1,-1
528070087,1,1,2,2
528070088,-1,-1,2,-1
528070089,-1,2,2,2
528070090,1,1,2,2
528070091,2,2,2,2
528070092,1,1,1,1
528070093,2,-1,2,2
528070094,2,-1,2,-1
528070095,2,-1,2,2
528070096,1,1,1,1
528070097,2,1,2,2
528070098,2,2,2,2
528070099,1,1,1,1
528070100,1,1,2,1
528070101,2,1,2,2
528070102,1,1,1,1
528070103,2,2,2,2
528070104,1,-1,-1,-1
528070105,2,2,2,2
528070106,2,2,2,2
528070107,1,-1,-1,-1
528070108,-5,-5,-5,-5
528070109,2,1,2,-1
528070110,2,2,2,2
528070111,-1,-1,2,2
528070112,1,1,-1,1
528070113,-5,-5,-5,-5
528070114,2,1,2,-1
528070115,2,2,2,2
528070116,1,1,1,1
528070117,-1,1,-1,-1
528070118,2,2,2,2
528070119,1,1,-1,1
528070120,2,2,2,2
528070121,2,1,2,2
528070122,2,-1,2,-1
528070123,1,2,2,2
528070124,-5,-5,-5,-5
528070125,-1,-2,-1,-2
528070126,1,2,2,2
528070127,1,-1,2,-1
528070128,2,2,2,2
528070129,2,2,2,2
528070130,2,2,2,2
528070131,-1,1,-1,-1
528070132,2,2,2,2
528070133,1,2,1,1
528070134,2,2,2,2
528070135,1,-1,1,1
528070136,1,-1,2,-1
528070137,-1,-1,2,-1
