D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
392070001,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
392070002,1.0,1.0,5.0,5.0,5.0,5.0,5.0,-2.0
392070003,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
392070004,4.0,1.0,1.0,5.0,5.0,-2.0,1.0,1.0
392070005,5.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0
392070006,1.0,1.0,-2.0,1.0,5.0,5.0,5.0,1.0
392070007,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0
392070008,-2.0,1.0,5.0,5.0,3.0,3.0,3.0,4.0
392070009,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0
392070010,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0
392070011,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0
392070012,1.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0
392070013,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0
392070014,3.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0
392070015,1.0,1.0,2.0,5.0,5.0,1.0,5.0,2.0
392070016,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0
392070017,1.0,1.0,2.0,5.0,5.0,1.0,5.0,4.0
392070018,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0
392070019,5.0,3.0,5.0,4.0,4.0,1.0,2.0,3.0
392070020,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0
392070021,1.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0
392070022,1.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0
392070023,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0
392070024,4.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0
392070025,1.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0
392070026,5.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0
392070027,1.0,1.0,4.0,5.0,5.0,1.0,5.0,1.0
392070028,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0
392070029,2.0,1.0,5.0,1.0,4.0,1.0,2.0,2.0
392070030,5.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0
392070031,5.0,1.0,5.0,5.0,5.0,1.0,5.0,2.0
392070032,5.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0
392070033,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0
392070034,1.0,1.0,1.0,5.0,5.0,1.0,5.0,4.0
392070035,2.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0
392070036,1.0,1.0,3.0,-2.0,2.0,5.0,5.0,2.0
392070037,1.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0
392070038,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0
392070039,5.0,1.0,5.0,5.0,5.0,2.0,1.0,5.0
392070040,1.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0
392070041,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0
392070042,2.0,1.0,5.0,2.0,5.0,5.0,5.0,3.0
392070043,5.0,2.0,5.0,5.0,2.0,1.0,1.0,2.0
392070044,1.0,1.0,2.0,5.0,5.0,1.0,1.0,3.0
392070045,4.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0
