D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
392070001,1,1,2,2,2,1,1,3
392070002,1,1,5,5,5,5,5,-2
392070003,1,1,2,1,1,1,1,2
392070004,4,1,1,5,5,-2,1,1
392070005,5,1,5,1,2,1,1,1
392070006,1,1,-2,1,5,5,5,1
392070007,1,1,5,5,5,5,5,1
392070008,-2,1,5,5,3,3,3,4
392070009,1,1,5,5,5,5,5,2
392070010,2,1,3,4,1,1,1,1
392070011,5,1,5,5,1,1,1,1
392070012,1,1,4,3,5,5,5,3
392070013,1,1,1,5,5,1,1,1
392070014,3,1,4,5,5,1,4,4
392070015,1,1,2,5,5,1,5,2
392070016,1,1,5,1,5,5,5,1
392070017,1,1,2,5,5,1,5,4
392070018,1,1,1,5,5,1,5,5
392070019,5,3,5,4,4,1,2,3
392070020,1,1,5,1,5,5,5,1
392070021,1,1,5,1,5,5,5,2
392070022,1,1,5,5,3,5,5,5
392070023,1,2,2,1,1,1,5,2
392070024,4,1,4,5,5,1,1,2
392070025,1,1,5,5,3,1,5,3
392070026,5,1,1,2,1,5,5,2
392070027,1,1,4,5,5,1,5,1
392070028,5,3,5,5,5,3,3,3
392070029,2,1,5,1,4,1,2,2
392070030,5,1,5,1,1,1,5,1
392070031,5,1,5,5,5,1,5,2
392070032,5,1,3,1,2,1,5,2
392070033,1,1,5,5,5,1,1,1
392070034,1,1,1,5,5,1,5,4
392070035,2,1,5,5,5,1,1,2
392070036,1,1,3,-2,2,5,5,2
392070037,1,1,1,2,3,4,4,2
392070038,1,1,2,1,3,1,2,3
392070039,5,1,5,5,5,2,1,5
392070040,1,1,5,5,5,1,5,4
392070041,1,1,1,5,5,5,5,2
392070042,2,1,5,2,5,5,5,3
392070043,5,2,5,5,2,1,1,2
392070044,1,1,2,5,5,1,1,3
392070045,4,1,5,1,5,1,1,2
392070046,1,1,1,5,5,5,5,2
392070047,1,1,4,1,2,5,5,4
392070048,4,1,5,1,5,1,5,5
392070049,1,1,5,1,1,1,1,1
392070050,1,1,1,5,5,2,5,2
392070051,5,1,5,1,5,1,2,2
392070052,5,1,3,5,2,1,1,5
392070053,2,1,4,5,1,1,1,2
392070054,1,1,5,5,1,1,1,1
392070055,5,1,5,5,5,1,5,5
392070056,3,1,5,1,5,5,5,3
392070057,1,1,5,5,5,1,5,3
392070058,2,1,5,5,5,1,5,2
392070059,5,5,1,5,5,1,3,3
392070060,1,1,4,1,5,1,1,1
392070061,1,1,1,5,5,5,5,1
392070062,5,1,5,5,5,1,5,5
392070063,1,1,5,5,3,1,5,2
392070064,1,1,1,1,1,1,5,1
392070065,1,1,5,5,5,1,2,1
392070066,5,1,5,1,2,1,1,1
392070067,1,1,2,5,5,2,5,2
392070068,1,1,2,1,1,1,5,1
392070069,1,1,1,2,2,1,1,1
392070070,1,1,4,1,1,1,5,1
392070071,1,1,5,2,5,5,5,2
392070072,5,2,4,5,5,1,1,3
392070073,1,1,1,3,5,1,2,2
392070074,1,1,5,5,5,5,5,5
392070075,5,2,2,5,5,1,2,2
392070076,1,1,4,5,4,1,5,2
392070077,1,1,4,2,2,2,5,1
392070078,4,1,5,1,1,5,5,1
392070079,2,1,5,1,1,1,5,2
392070080,3,1,2,1,2,1,1,2
392070081,5,5,5,1,5,5,5,5
392070082,5,5,1,4,1,1,1,3
392070083,5,1,5,5,5,1,5,4
392070084,2,1,5,1,5,1,5,1
392070085,5,1,2,5,5,1,1,2
392070086,1,1,4,4,4,1,5,4
392070087,1,1,5,5,5,5,5,2
392070088,1,1,2,5,5,1,5,5
392070089,1,1,4,1,1,1,5,4
392070090,1,1,5,5,5,5,5,3
392070091,5,1,5,5,5,5,5,5
392070092,1,1,1,5,5,5,5,4
392070093,2,1,5,1,1,5,5,1
392070094,1,1,2,5,2,1,5,2
392070095,1,1,4,5,5,2,5,4
392070096,5,5,5,5,3,1,1,4
392070097,1,1,4,4,3,4,5,4
392070098,1,1,2,2,2,1,2,2
392070099,2,1,2,5,1,1,2,2
392070100,1,1,5,5,5,1,4,2
392070101,5,1,1,2,4,1,4,5
392070102,2,1,5,5,5,1,5,2
392070103,5,1,2,1,5,5,5,5
392070104,2,2,1,1,2,1,1,1
392070105,5,1,1,5,3,1,3,3
392070106,4,2,5,5,5,1,2,2
392070107,5,1,1,1,1,1,5,1
392070108,5,1,1,4,4,4,5,4
392070109,2,1,3,1,1,1,1,1
392070110,2,1,2,5,1,1,5,2
392070111,5,1,5,5,5,5,5,5
392070112,1,1,5,5,5,5,5,5
392070113,5,1,1,5,1,1,1,1
392070114,1,5,1,1,1,1,1,1
392070115,1,1,5,4,5,2,5,2
392070116,5,1,1,5,5,1,5,1
392070117,2,1,5,5,2,1,1,3
392070118,1,1,4,5,4,1,5,4
392070119,1,1,2,2,1,1,1,1
392070120,2,1,3,1,5,1,3,2
392070121,1,1,2,5,2,2,5,2
392070122,4,1,5,1,5,2,4,2
392070123,1,5,1,5,5,5,5,5
392070124,1,1,5,1,2,1,4,2
392070125,2,1,3,1,2,1,2,1
392070126,1,1,4,2,3,1,3,2
392070127,1,1,5,5,5,5,5,2
392070128,2,1,4,3,3,1,1,2
392070129,1,1,5,5,5,5,5,3
392070130,5,1,3,1,1,1,1,3
392070131,3,1,2,2,1,1,1,1
392070132,1,1,1,4,4,4,4,2
392070133,1,1,4,1,5,1,5,3
392070134,1,1,3,3,1,1,2,1
392070135,4,2,5,5,5,1,5,2
392070136,5,2,1,1,2,1,5,1
392070137,1,1,2,1,1,1,2,2
392070138,2,2,3,5,5,1,1,1
392070139,1,1,4,1,1,2,2,2
392070140,2,1,3,1,1,2,5,2
392070141,1,1,5,1,1,5,5,1
392070142,1,1,5,1,5,1,5,2
392070143,1,1,1,5,5,1,5,2
392070144,1,2,5,5,5,1,1,4
392070145,4,1,1,5,5,1,1,1
392070146,1,1,5,1,5,1,5,2
392070147,1,1,1,5,5,5,5,4
392070148,2,1,5,1,2,1,1,2
392070149,1,1,3,1,5,5,5,2
392070150,2,1,2,5,5,5,5,2
392070151,1,1,5,5,5,1,4,4
392070152,5,1,1,1,5,1,1,1
392070153,1,1,5,5,1,1,1,1
392070154,1,1,4,1,2,2,4,2
392070155,5,1,5,5,1,1,5,2
392070156,5,1,4,5,2,1,5,1
392070157,1,1,5,1,5,5,5,3
392070158,1,1,2,1,1,1,1,1
392070159,1,1,1,5,5,5,5,2
392070160,1,1,2,4,3,1,1,2
392070161,1,1,1,5,5,5,5,2
392070162,1,1,5,5,5,5,5,2
392070163,4,1,4,5,5,1,1,2
392070164,1,1,1,5,5,5,5,3
392070165,1,1,5,5,5,5,5,4
392070166,1,1,5,1,1,1,1,1
392070167,5,2,4,5,5,1,1,2
392070168,1,1,2,-2,-2,-2,-2,3
392070169,5,1,5,1,5,1,5,1
392070170,5,1,5,3,3,1,1,2
392070171,3,1,5,4,2,1,1,2
392070172,1,1,2,4,4,5,5,3
392070173,1,1,2,1,5,5,5,2
392070174,1,1,1,1,1,1,5,1
392070175,1,1,3,1,1,1,1,1
392070176,5,5,5,5,5,5,5,5
392070177,1,1,1,3,3,1,3,2
392070178,5,1,5,5,1,1,1,5
392070179,1,1,1,1,1,1,2,1
392070180,1,1,4,2,5,2,5,2
392070181,1,1,1,5,5,5,5,2
392070182,1,1,2,5,4,1,4,2
392070183,1,1,2,2,5,5,5,3
392070184,1,1,5,1,1,1,5,1
392070185,1,1,4,5,2,1,5,3
392070186,5,1,5,5,5,1,1,2
392070187,1,1,1,1,5,5,5,5
392070188,2,1,5,5,5,1,2,3
392070189,5,1,5,5,5,1,5,5
392070190,1,1,2,1,5,5,5,4
392070191,1,1,2,1,4,1,5,2
392070192,1,1,5,5,5,1,5,1
392070193,5,1,5,5,5,5,5,3
392070194,1,1,5,5,1,1,5,5
392070195,4,1,1,1,5,1,5,2
392070196,1,1,5,1,5,2,2,5
392070197,1,1,2,1,1,1,1,2
392070198,2,1,1,2,5,1,1,2
392070199,1,1,1,1,2,3,5,4
392070200,2,1,5,1,5,1,5,2
392070201,4,2,5,1,4,1,5,2
392070202,1,1,3,5,5,5,5,3
392070203,1,1,5,1,3,1,1,1
392070204,5,1,5,1,5,1,1,1
392070205,1,1,1,1,2,1,2,2
392070206,1,1,3,1,5,1,5,2
392070207,1,1,5,5,2,1,1,3
392070208,1,1,5,1,1,1,1,1
392070209,2,3,5,5,5,2,1,3
392070210,5,1,2,2,5,1,5,4
392070211,1,1,5,5,1,1,4,2
392070212,5,1,5,5,5,1,5,2
392070213,1,1,1,5,5,5,5,5
392070214,1,1,5,1,5,1,5,1
392070215,1,1,5,5,5,5,5,2
392070216,1,1,1,1,1,2,2,1
392070217,2,1,5,5,5,5,5,2
392070218,-2,-2,-2,-2,-2,-2,-2,-2
392070219,1,1,1,5,5,1,5,5
392070220,1,1,5,5,5,5,5,3
392070221,5,1,5,5,5,1,5,1
