D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
458070001,4,4,4,1,4,1,1,1
458070002,2,3,3,2,3,4,3,2
458070003,2,1,1,1,4,1,1,1
458070004,3,1,1,1,4,5,5,2
458070005,1,1,1,1,1,1,1,1
458070006,2,1,2,1,5,2,2,2
458070007,2,1,2,3,4,2,2,2
458070008,2,1,1,1,4,5,4,5
458070009,2,1,3,1,1,1,1,1
458070010,3,3,3,2,2,3,3,3
458070011,2,1,2,1,2,1,2,2
458070012,1,2,1,1,2,1,2,3
458070013,2,2,2,2,2,2,2,2
458070014,5,1,4,3,5,5,5,1
458070015,5,1,1,1,4,4,5,3
458070016,4,2,3,2,4,2,2,3
458070017,1,1,2,1,4,1,2,2
458070018,4,2,4,3,4,2,2,1
458070019,3,1,1,1,4,1,1,1
458070020,4,1,4,1,4,3,3,1
458070021,4,1,4,1,5,5,5,1
458070022,1,5,5,1,1,1,1,4
458070023,2,1,2,1,1,1,1,1
458070024,5,1,2,1,5,1,1,1
458070025,1,1,1,1,1,1,1,1
458070026,5,2,2,2,5,2,1,2
458070027,4,4,5,5,5,5,5,4
458070028,4,4,4,4,4,4,4,4
458070029,5,5,5,5,5,5,5,5
458070030,5,5,5,5,5,5,5,5
458070031,2,1,1,1,4,1,1,1
458070032,5,5,5,5,5,5,5,5
458070033,5,1,5,1,5,1,1,1
458070034,4,4,4,4,4,4,4,4
458070035,4,4,4,4,4,4,4,4
458070036,2,2,1,3,3,1,1,2
458070037,5,5,5,5,5,5,5,5
458070038,4,4,4,4,4,4,4,4
458070039,3,3,3,3,5,5,3,3
458070040,3,1,1,5,5,5,5,5
458070041,5,5,5,5,5,5,5,5
458070042,1,1,1,1,1,1,1,1
458070043,2,1,5,4,5,5,5,4
458070044,1,1,4,4,4,4,4,4
458070045,1,1,1,1,1,1,1,1
458070046,4,2,2,1,5,1,1,2
458070047,2,1,2,1,2,1,1,3
458070048,4,4,3,1,4,2,1,2
458070049,3,3,3,3,5,5,5,3
458070050,5,5,5,5,5,5,5,5
458070051,5,5,5,5,5,5,5,5
458070052,5,5,5,5,5,5,5,5
458070053,2,1,1,1,2,2,1,2
458070054,1,1,1,1,5,1,1,1
458070055,5,5,5,5,5,5,5,5
458070056,2,1,1,1,5,1,1,2
458070057,1,1,1,1,5,1,1,2
458070058,5,5,5,5,5,5,5,5
458070059,1,1,3,1,2,1,1,1
458070060,2,3,2,1,3,1,3,3
458070061,5,5,5,5,5,5,5,5
458070062,5,5,5,5,5,5,5,5
458070063,5,5,5,5,5,5,5,5
458070064,5,5,5,5,5,5,5,5
458070065,4,2,2,3,4,1,1,1
458070066,2,2,2,2,2,2,2,2
458070067,1,1,1,1,1,1,1,1
458070068,2,1,2,1,3,4,4,1
458070069,3,1,2,1,4,1,1,2
458070070,1,1,3,1,1,1,1,1
458070071,1,1,4,2,5,5,4,3
458070072,4,1,1,1,4,1,1,1
458070073,4,1,4,4,5,4,5,5
458070074,1,1,4,4,5,5,5,2
458070075,1,1,1,1,2,2,3,1
458070076,3,1,3,1,4,1,1,1
458070077,3,1,1,1,3,1,1,2
458070078,2,1,4,2,5,2,1,2
458070079,1,1,3,1,4,3,4,4
458070080,4,1,2,1,5,1,1,5
458070081,1,1,3,3,5,5,2,1
458070082,4,2,2,2,5,3,5,2
458070083,2,1,3,2,5,5,5,2
458070084,4,4,4,4,4,4,4,4
458070085,2,1,1,1,4,1,1,1
458070086,5,5,5,2,5,2,5,2
458070087,1,1,2,3,3,3,2,1
458070088,1,1,1,1,1,1,1,1
458070089,3,3,4,4,4,4,3,4
458070090,3,3,5,5,5,5,5,3
458070091,4,1,1,1,5,1,1,1
458070092,4,1,5,1,5,1,1,1
458070093,2,3,1,2,3,3,1,2
458070094,5,1,5,1,5,1,1,1
458070095,2,1,2,4,5,1,1,4
458070096,1,1,1,1,2,2,2,2
458070097,5,1,5,1,5,1,1,4
458070098,4,4,4,4,4,4,4,4
458070099,1,1,1,1,5,1,1,1
458070100,5,1,5,1,5,1,1,5
458070101,5,1,5,1,5,1,1,1
458070102,5,1,1,1,5,1,1,1
458070103,3,4,2,2,5,4,2,5
458070104,5,5,5,5,5,5,5,5
458070105,2,3,4,2,2,3,1,2
458070106,4,4,4,1,4,2,1,2
458070107,4,4,4,1,4,1,1,4
458070108,4,4,4,1,4,2,1,2
458070109,3,3,3,2,3,2,1,3
458070110,2,1,2,1,2,1,1,2
458070111,2,2,1,1,3,1,1,4
458070112,5,1,5,1,5,1,5,1
458070113,5,1,4,1,5,1,1,5
458070114,3,3,3,2,3,1,1,2
458070115,1,1,5,1,5,1,1,1
458070116,1,1,1,1,2,1,1,1
458070117,5,5,1,1,5,1,1,4
458070118,4,1,4,5,5,5,5,4
458070119,5,2,1,1,5,1,1,2
458070120,1,1,2,1,4,1,1,1
458070121,5,3,1,1,3,1,1,1
458070122,3,3,4,1,3,1,1,1
458070123,1,2,2,1,4,2,1,2
458070124,5,1,4,1,5,5,5,2
458070125,4,4,4,4,4,3,3,4
458070126,4,4,4,4,4,3,3,3
458070127,5,5,5,5,5,3,3,5
458070128,1,1,1,1,1,1,1,1
458070129,1,1,2,1,5,5,5,1
458070130,1,2,2,1,4,4,4,1
