D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
392070001,5,5,4,5,5
392070002,4,5,3,3,4
392070003,5,4,3,3,7
392070004,4,1,2,1,7
392070005,3,5,1,9,10
392070006,6,5,7,3,7
392070007,5,5,8,5,3
392070008,6,-1,5,5,4
392070009,5,2,1,9,3
392070010,6,7,7,5,8
392070011,3,2,3,4,6
392070012,7,5,7,3,4
392070013,4,4,4,4,2
392070014,5,-1,1,6,6
392070015,1,3,3,4,3
392070016,1,-1,1,1,1
392070017,5,5,1,2,2
392070018,7,3,6,2,3
392070019,4,2,4,3,3
392070020,-2,-2,-2,-2,-2
392070021,5,5,8,5,5
392070022,7,2,3,10,1
392070023,6,-1,5,3,5
392070024,5,3,3,3,3
392070025,5,5,5,5,2
392070026,8,1,2,3,3
392070027,6,5,4,3,4
392070028,6,3,1,3,3
392070029,3,3,4,3,4
392070030,3,3,3,9,5
392070031,5,5,2,3,7
392070032,6,4,2,2,2
392070033,1,-1,1,3,3
392070034,8,5,3,10,5
392070035,5,5,5,5,9
392070036,5,5,2,5,5
392070037,4,3,7,3,3
392070038,5,5,3,3,4
392070039,7,5,7,4,3
392070040,4,4,5,4,5
392070041,1,5,1,5,8
392070042,4,5,6,5,3
392070043,5,1,5,5,3
392070044,8,8,10,3,2
392070045,5,5,2,3,5
392070046,4,3,4,4,5
392070047,5,-1,5,-1,-1
392070048,8,1,6,2,1
392070049,8,5,4,4,4
392070050,5,-1,1,5,10
392070051,5,-1,5,5,7
392070052,7,4,4,4,5
392070053,7,2,6,3,4
392070054,4,3,2,4,8
392070055,7,4,3,2,7
392070056,5,5,6,5,6
392070057,6,1,5,4,5
392070058,5,6,7,4,3
392070059,4,5,4,3,8
392070060,5,5,3,3,7
392070061,-1,5,7,3,3
392070062,3,-1,6,7,3
392070063,3,4,2,10,5
392070064,3,3,1,3,5
392070065,6,5,1,5,7
392070066,7,-1,2,3,2
392070067,2,2,10,8,8
392070068,9,2,10,2,9
392070069,1,1,1,10,10
392070070,7,2,2,3,5
392070071,1,2,2,-1,3
392070072,5,-1,1,5,7
392070073,6,1,9,5,6
392070074,5,-1,5,-1,-1
392070075,5,5,5,9,5
392070076,6,3,4,3,4
392070077,5,4,5,5,4
392070078,1,3,5,4,3
392070079,7,-1,-1,-1,-1
392070080,5,4,5,6,4
392070081,9,7,7,5,5
392070082,5,6,3,6,6
392070083,5,-1,-1,-1,10
392070084,1,3,1,2,8
392070085,6,5,5,6,7
392070086,3,3,3,3,5
392070087,5,5,2,5,3
392070088,3,5,3,5,5
392070089,6,3,2,1,8
392070090,4,1,1,5,5
392070091,-1,-1,7,3,3
392070092,-1,1,1,1,3
392070093,5,5,3,6,5
392070094,5,5,4,4,4
392070095,8,3,3,2,10
392070096,2,9,2,2,10
392070097,6,-1,1,-1,-1
392070098,3,7,1,9,1
392070099,7,5,4,2,9
392070100,7,5,3,5,2
392070101,8,2,7,3,8
392070102,7,3,3,4,3
392070103,-1,-1,5,6,-1
392070104,6,7,1,1,1
392070105,6,5,2,10,5
392070106,6,5,5,5,5
392070107,3,5,3,7,5
392070108,5,3,3,3,3
392070109,8,7,7,6,7
392070110,5,3,2,5,5
392070111,5,5,5,5,5
392070112,5,5,1,5,10
392070113,7,3,5,2,3
392070114,9,1,9,10,1
392070115,3,3,4,3,2
392070116,7,3,3,3,-1
392070117,4,-1,4,4,5
392070118,5,6,3,4,5
392070119,10,4,8,2,5
392070120,5,3,4,6,5
392070121,3,4,2,3,3
392070122,5,5,4,6,4
392070123,8,1,10,2,2
392070124,2,3,2,2,1
392070125,5,5,7,4,6
392070126,7,1,5,2,3
392070127,6,5,3,3,5
392070128,6,3,5,4,4
392070129,5,5,2,2,1
392070130,9,5,3,8,7
392070131,5,5,8,6,8
392070132,6,4,6,6,3
392070133,7,3,8,4,4
392070134,8,3,3,4,6
392070135,2,3,2,3,10
392070136,5,3,5,5,5
392070137,7,5,5,4,6
392070138,4,7,3,4,8
392070139,7,-1,7,4,3
392070140,7,2,8,3,2
392070141,5,3,1,10,9
392070142,5,5,5,5,5
392070143,5,5,6,4,5
392070144,3,7,1,5,7
392070145,7,5,5,3,7
392070146,6,3,2,2,6
392070147,4,3,1,6,6
392070148,4,4,3,10,4
392070149,5,5,1,10,5
392070150,3,3,2,3,9
392070151,6,5,5,5,7
392070152,4,4,2,6,2
392070153,5,1,8,5,8
392070154,4,6,2,6,4
392070155,7,5,5,2,2
392070156,6,5,3,4,5
392070157,5,-1,3,5,5
392070158,8,3,5,4,3
392070159,5,-1,6,10,-1
392070160,4,5,4,3,2
392070161,3,3,1,5,7
392070162,4,3,5,4,4
392070163,3,5,2,4,5
392070164,6,3,3,3,3
392070165,5,5,5,5,5
392070166,6,5,6,5,1
392070167,6,5,6,4,4
392070168,6,3,7,3,5
392070169,6,4,6,-1,3
392070170,-2,-2,-2,-2,-2
392070171,7,-1,2,3,5
392070172,5,2,5,-1,4
392070173,5,5,1,8,6
392070174,5,5,8,5,8
392070175,3,3,3,3,3
392070176,10,10,2,4,5
392070177,5,1,5,3,3
392070178,10,1,1,5,7
392070179,6,3,3,5,3
392070180,5,1,10,2,2
