D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
392070001,5.0,5.0,4.0,5.0,5.0
392070002,4.0,5.0,3.0,3.0,4.0
392070003,5.0,4.0,3.0,3.0,7.0
392070004,4.0,1.0,2.0,1.0,7.0
392070005,3.0,5.0,1.0,9.0,10.0
392070006,6.0,5.0,7.0,3.0,7.0
392070007,5.0,5.0,8.0,5.0,3.0
392070008,6.0,-1.0,5.0,5.0,4.0
392070009,5.0,2.0,1.0,9.0,3.0
392070010,6.0,7.0,7.0,5.0,8.0
392070011,3.0,2.0,3.0,4.0,6.0
392070012,7.0,5.0,7.0,3.0,4.0
392070013,4.0,4.0,4.0,4.0,2.0
392070014,5.0,-1.0,1.0,6.0,6.0
392070015,1.0,3.0,3.0,4.0,3.0
392070016,1.0,-1.0,1.0,1.0,1.0
392070017,5.0,5.0,1.0,2.0,2.0
392070018,7.0,3.0,6.0,2.0,3.0
392070019,4.0,2.0,4.0,3.0,3.0
392070020,-2.0,-2.0,-2.0,-2.0,-2.0
392070021,5.0,5.0,8.0,5.0,5.0
392070022,7.0,2.0,3.0,10.0,1.0
392070023,6.0,-1.0,5.0,3.0,5.0
392070024,5.0,3.0,3.0,3.0,3.0
392070025,5.0,5.0,5.0,5.0,2.0
392070026,8.0,1.0,2.0,3.0,3.0
392070027,6.0,5.0,4.0,3.0,4.0
392070028,6.0,3.0,1.0,3.0,3.0
392070029,3.0,3.0,4.0,3.0,4.0
392070030,3.0,3.0,3.0,9.0,5.0
392070031,5.0,5.0,2.0,3.0,7.0
392070032,6.0,4.0,2.0,2.0,2.0
392070033,1.0,-1.0,1.0,3.0,3.0
392070034,8.0,5.0,3.0,10.0,5.0
392070035,5.0,5.0,5.0,5.0,9.0
392070036,5.0,5.0,2.0,5.0,5.0
392070037,4.0,3.0,7.0,3.0,3.0
392070038,5.0,5.0,3.0,3.0,4.0
392070039,7.0,5.0,7.0,4.0,3.0
392070040,4.0,4.0,5.0,4.0,5.0
392070041,1.0,5.0,1.0,5.0,8.0
392070042,4.0,5.0,6.0,5.0,3.0
392070043,5.0,1.0,5.0,5.0,3.0
392070044,8.0,8.0,10.0,3.0,2.0
392070045,5.0,5.0,2.0,3.0,5.0
392070046,4.0,3.0,4.0,4.0,5.0
392070047,5.0,-1.0,5.0,-1.0,-1.0
392070048,8.0,1.0,6.0,2.0,1.0
392070049,8.0,5.0,4.0,4.0,4.0
392070050,5.0,-1.0,1.0,5.0,10.0
392070051,5.0,-1.0,5.0,5.0,7.0
392070052,7.0,4.0,4.0,4.0,5.0
392070053,7.0,2.0,6.0,3.0,4.0
392070054,4.0,3.0,2.0,4.0,8.0
392070055,7.0,4.0,3.0,2.0,7.0
392070056,5.0,5.0,6.0,5.0,6.0
392070057,6.0,1.0,5.0,4.0,5.0
392070058,5.0,6.0,7.0,4.0,3.0
392070059,4.0,5.0,4.0,3.0,8.0
392070060,5.0,5.0,3.0,3.0,7.0
392070061,-1.0,5.0,7.0,3.0,3.0
392070062,3.0,-1.0,6.0,7.0,3.0
392070063,3.0,4.0,2.0,10.0,5.0
392070064,3.0,3.0,1.0,3.0,5.0
392070065,6.0,5.0,1.0,5.0,7.0
392070066,7.0,-1.0,2.0,3.0,2.0
392070067,2.0,2.0,10.0,8.0,8.0
392070068,9.0,2.0,10.0,2.0,9.0
392070069,1.0,1.0,1.0,10.0,10.0
392070070,7.0,2.0,2.0,3.0,5.0
392070071,1.0,2.0,2.0,-1.0,3.0
392070072,5.0,-1.0,1.0,5.0,7.0
392070073,6.0,1.0,9.0,5.0,6.0
392070074,5.0,-1.0,5.0,-1.0,-1.0
392070075,5.0,5.0,5.0,9.0,5.0
392070076,6.0,3.0,4.0,3.0,4.0
392070077,5.0,4.0,5.0,5.0,4.0
392070078,1.0,3.0,5.0,4.0,3.0
392070079,7.0,-1.0,-1.0,-1.0,-1.0
392070080,5.0,4.0,5.0,6.0,4.0
392070081,9.0,7.0,7.0,5.0,5.0
392070082,5.0,6.0,3.0,6.0,6.0
392070083,5.0,-1.0,-1.0,-1.0,10.0
392070084,1.0,3.0,1.0,2.0,8.0
392070085,6.0,5.0,5.0,6.0,7.0
392070086,3.0,3.0,3.0,3.0,5.0
392070087,5.0,5.0,2.0,5.0,3.0
392070088,3.0,5.0,3.0,5.0,5.0
392070089,6.0,3.0,2.0,1.0,8.0
392070090,4.0,1.0,1.0,5.0,5.0
392070091,-1.0,-1.0,7.0,3.0,3.0
392070092,-1.0,1.0,1.0,1.0,3.0
392070093,5.0,5.0,3.0,6.0,5.0
392070094,5.0,5.0,4.0,4.0,4.0
392070095,8.0,3.0,3.0,2.0,10.0
392070096,2.0,9.0,2.0,2.0,10.0
392070097,6.0,-1.0,1.0,-1.0,-1.0
392070098,3.0,7.0,1.0,9.0,1.0
392070099,7.0,5.0,4.0,2.0,9.0
392070100,7.0,5.0,3.0,5.0,2.0
392070101,8.0,2.0,7.0,3.0,8.0
392070102,7.0,3.0,3.0,4.0,3.0
392070103,-1.0,-1.0,5.0,6.0,-1.0
392070104,6.0,7.0,1.0,1.0,1.0
392070105,6.0,5.0,2.0,10.0,5.0
392070106,6.0,5.0,5.0,5.0,5.0
392070107,3.0,5.0,3.0,7.0,5.0
392070108,5.0,3.0,3.0,3.0,3.0
392070109,8.0,7.0,7.0,6.0,7.0
392070110,5.0,3.0,2.0,5.0,5.0
392070111,5.0,5.0,5.0,5.0,5.0
392070112,5.0,5.0,1.0,5.0,10.0
392070113,7.0,3.0,5.0,2.0,3.0
392070114,9.0,1.0,9.0,10.0,1.0
392070115,3.0,3.0,4.0,3.0,2.0
392070116,7.0,3.0,3.0,3.0,-1.0
392070117,4.0,-1.0,4.0,4.0,5.0
392070118,5.0,6.0,3.0,4.0,5.0
392070119,10.0,4.0,8.0,2.0,5.0
392070120,5.0,3.0,4.0,6.0,5.0
392070121,3.0,4.0,2.0,3.0,3.0
392070122,5.0,5.0,4.0,6.0,4.0
392070123,8.0,1.0,10.0,2.0,2.0
392070124,2.0,3.0,2.0,2.0,1.0
392070125,5.0,5.0,7.0,4.0,6.0
392070126,7.0,1.0,5.0,2.0,3.0
392070127,6.0,5.0,3.0,3.0,5.0
392070128,6.0,3.0,5.0,4.0,4.0
392070129,5.0,5.0,2.0,2.0,1.0
392070130,9.0,5.0,3.0,8.0,7.0
392070131,5.0,5.0,8.0,6.0,8.0
392070132,6.0,4.0,6.0,6.0,3.0
392070133,7.0,3.0,8.0,4.0,4.0
392070134,8.0,3.0,3.0,4.0,6.0
392070135,2.0,3.0,2.0,3.0,10.0
392070136,5.0,3.0,5.0,5.0,5.0
392070137,7.0,5.0,5.0,4.0,6.0
392070138,4.0,7.0,3.0,4.0,8.0
392070139,7.0,-1.0,7.0,4.0,3.0
392070140,7.0,2.0,8.0,3.0,2.0
392070141,5.0,3.0,1.0,10.0,9.0
392070142,5.0,5.0,5.0,5.0,5.0
392070143,5.0,5.0,6.0,4.0,5.0
392070144,3.0,7.0,1.0,5.0,7.0
392070145,7.0,5.0,5.0,3.0,7.0
392070146,6.0,3.0,2.0,2.0,6.0
392070147,4.0,3.0,1.0,6.0,6.0
392070148,4.0,4.0,3.0,10.0,4.0
392070149,5.0,5.0,1.0,10.0,5.0
392070150,3.0,3.0,2.0,3.0,9.0
392070151,6.0,5.0,5.0,5.0,7.0
392070152,4.0,4.0,2.0,6.0,2.0
392070153,5.0,1.0,8.0,5.0,8.0
392070154,4.0,6.0,2.0,6.0,4.0
392070155,7.0,5.0,5.0,2.0,2.0
392070156,6.0,5.0,3.0,4.0,5.0
392070157,5.0,-1.0,3.0,5.0,5.0
392070158,8.0,3.0,5.0,4.0,3.0
392070159,5.0,-1.0,6.0,10.0,-1.0
392070160,4.0,5.0,4.0,3.0,2.0
392070161,3.0,3.0,1.0,5.0,7.0
392070162,4.0,3.0,5.0,4.0,4.0
392070163,3.0,5.0,2.0,4.0,5.0
392070164,6.0,3.0,3.0,3.0,3.0
392070165,5.0,5.0,5.0,5.0,5.0
392070166,6.0,5.0,6.0,5.0,1.0
392070167,6.0,5.0,6.0,4.0,4.0
392070168,6.0,3.0,7.0,3.0,5.0
392070169,6.0,4.0,6.0,-1.0,3.0
392070170,-2.0,-2.0,-2.0,-2.0,-2.0
392070171,7.0,-1.0,2.0,3.0,5.0
392070172,5.0,2.0,5.0,-1.0,4.0
392070173,5.0,5.0,1.0,8.0,6.0
392070174,5.0,5.0,8.0,5.0,8.0
392070175,3.0,3.0,3.0,3.0,3.0
392070176,10.0,10.0,2.0,4.0,5.0
392070177,5.0,1.0,5.0,3.0,3.0
392070178,10.0,1.0,1.0,5.0,7.0
392070179,6.0,3.0,3.0,5.0,3.0
392070180,5.0,1.0,10.0,2.0,2.0
392070181,5.0,4.0,5.0,5.0,6.0
392070182,4.0,3.0,1.0,3.0,3.0
392070183,6.0,1.0,10.0,1.0,7.0
392070184,6.0,5.0,6.0,4.0,3.0
392070185,10.0,5.0,8.0,3.0,5.0
392070186,8.0,3.0,2.0,2.0,3.0
392070187,-1.0,-1.0,9.0,-1.0,-1.0
392070188,6.0,5.0,2.0,4.0,4.0
392070189,5.0,5.0,5.0,5.0,5.0
392070190,5.0,-1.0,7.0,5.0,6.0
392070191,8.0,2.0,5.0,3.0,3.0
392070192,3.0,3.0,2.0,4.0,4.0
392070193,6.0,-1.0,1.0,2.0,9.0
392070194,6.0,4.0,4.0,4.0,6.0
392070195,7.0,1.0,1.0,3.0,5.0
392070196,6.0,1.0,6.0,1.0,1.0
392070197,8.0,3.0,8.0,3.0,4.0
392070198,1.0,5.0,1.0,8.0,8.0
392070199,2.0,2.0,1.0,3.0,8.0
392070200,3.0,5.0,1.0,10.0,7.0
392070201,5.0,3.0,5.0,4.0,2.0
392070202,8.0,8.0,10.0,8.0,8.0
392070203,5.0,5.0,5.0,10.0,5.0
392070204,6.0,5.0,4.0,3.0,6.0
392070205,5.0,3.0,2.0,3.0,4.0
392070206,6.0,5.0,5.0,5.0,4.0
392070207,1.0,-1.0,1.0,5.0,5.0
392070208,4.0,4.0,4.0,3.0,4.0
392070209,5.0,5.0,5.0,2.0,7.0
392070210,7.0,3.0,5.0,10.0,4.0
392070211,9.0,1.0,3.0,5.0,2.0
392070212,-1.0,-1.0,-1.0,-1.0,-1.0
392070213,5.0,5.0,6.0,5.0,5.0
392070214,-1.0,-1.0,-1.0,-1.0,-1.0
392070215,6.0,-1.0,6.0,5.0,5.0
392070216,5.0,4.0,1.0,3.0,2.0
392070217,5.0,6.0,1.0,6.0,1.0
392070218,-1.0,-1.0,9.0,-1.0,9.0
392070219,5.0,4.0,5.0,5.0,5.0
392070220,1.0,1.0,1.0,10.0,1.0
392070221,6.0,4.0,4.0,5.0,4.0
392070222,7.0,4.0,4.0,4.0,7.0
392070223,6.0,5.0,6.0,4.0,4.0
392070224,6.0,3.0,2.0,2.0,4.0
392070225,-1.0,-1.0,3.0,-1.0,3.0
392070226,7.0,1.0,3.0,3.0,3.0
392070227,6.0,5.0,3.0,4.0,3.0
392070228,4.0,5.0,3.0,4.0,3.0
392070229,5.0,6.0,1.0,7.0,7.0
392070230,6.0,2.0,1.0,10.0,2.0
392070231,3.0,8.0,10.0,8.0,8.0
392070232,6.0,5.0,6.0,4.0,4.0
392070233,5.0,5.0,5.0,5.0,5.0
392070234,7.0,1.0,5.0,3.0,2.0
392070235,8.0,3.0,6.0,3.0,4.0
392070236,7.0,3.0,3.0,3.0,2.0
392070237,5.0,3.0,3.0,2.0,2.0
392070238,5.0,5.0,3.0,3.0,3.0
392070239,3.0,3.0,3.0,3.0,5.0
392070240,8.0,2.0,6.0,10.0,7.0
392070241,8.0,1.0,10.0,1.0,1.0
392070242,1.0,-1.0,1.0,5.0,-1.0
392070243,5.0,6.0,5.0,5.0,5.0
392070244,6.0,4.0,3.0,4.0,3.0
392070245,5.0,5.0,2.0,4.0,3.0
392070246,3.0,-1.0,3.0,3.0,5.0
392070247,1.0,-1.0,1.0,4.0,10.0
392070248,5.0,-1.0,5.0,4.0,4.0
392070249,4.0,4.0,4.0,2.0,3.0
392070250,5.0,5.0,2.0,5.0,5.0
392070251,8.0,2.0,2.0,1.0,2.0
392070252,1.0,5.0,1.0,1.0,5.0
392070253,10.0,5.0,6.0,8.0,6.0
392070254,6.0,6.0,5.0,5.0,4.0
392070255,5.0,2.0,5.0,4.0,2.0
392070256,3.0,3.0,2.0,7.0,6.0
392070257,4.0,4.0,4.0,4.0,4.0
392070258,7.0,4.0,5.0,4.0,3.0
392070259,8.0,-1.0,10.0,1.0,-1.0
392070260,4.0,4.0,3.0,4.0,7.0
392070261,6.0,4.0,5.0,3.0,4.0
392070262,6.0,3.0,2.0,4.0,3.0
392070263,5.0,5.0,3.0,3.0,4.0
