D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
458070001,3.0,3.0,3.0,3.0,3.0
458070002,2.0,3.0,3.0,2.0,2.0
458070003,4.0,3.0,4.0,3.0,2.0
458070004,2.0,3.0,4.0,2.0,4.0
458070005,2.0,2.0,2.0,2.0,2.0
458070006,2.0,3.0,2.0,2.0,2.0
458070007,2.0,2.0,1.0,1.0,2.0
458070008,3.0,3.0,3.0,3.0,2.0
458070009,3.0,2.0,3.0,3.0,3.0
458070010,2.0,2.0,2.0,2.0,1.0
458070011,3.0,3.0,3.0,2.0,3.0
458070012,2.0,2.0,2.0,1.0,1.0
458070013,2.0,2.0,2.0,2.0,2.0
458070014,2.0,2.0,2.0,2.0,2.0
458070015,2.0,2.0,2.0,2.0,2.0
458070016,3.0,2.0,2.0,3.0,2.0
458070017,2.0,2.0,2.0,2.0,2.0
458070018,4.0,3.0,2.0,4.0,2.0
458070019,2.0,2.0,1.0,2.0,2.0
458070020,2.0,2.0,2.0,2.0,2.0
458070021,2.0,2.0,2.0,2.0,2.0
458070022,1.0,2.0,2.0,3.0,4.0
458070023,3.0,2.0,3.0,3.0,2.0
458070024,3.0,3.0,2.0,2.0,2.0
458070025,3.0,2.0,2.0,2.0,2.0
458070026,3.0,2.0,3.0,3.0,4.0
458070027,3.0,2.0,3.0,3.0,3.0
458070028,3.0,3.0,3.0,3.0,3.0
458070029,3.0,3.0,2.0,2.0,2.0
458070030,4.0,4.0,4.0,4.0,4.0
458070031,3.0,3.0,3.0,3.0,3.0
458070032,2.0,2.0,2.0,2.0,2.0
458070033,3.0,3.0,3.0,2.0,2.0
458070034,2.0,2.0,2.0,2.0,2.0
458070035,3.0,2.0,3.0,2.0,2.0
458070036,3.0,3.0,3.0,3.0,4.0
458070037,3.0,3.0,3.0,3.0,3.0
458070038,3.0,3.0,3.0,2.0,2.0
458070039,3.0,2.0,3.0,3.0,2.0
458070040,2.0,2.0,3.0,3.0,3.0
458070041,2.0,3.0,3.0,2.0,2.0
458070042,2.0,2.0,2.0,2.0,2.0
458070043,3.0,3.0,3.0,3.0,3.0
458070044,2.0,2.0,2.0,2.0,2.0
458070045,3.0,3.0,3.0,3.0,3.0
458070046,2.0,2.0,2.0,2.0,3.0
458070047,2.0,2.0,2.0,2.0,2.0
458070048,4.0,4.0,4.0,3.0,4.0
458070049,3.0,3.0,3.0,3.0,3.0
458070050,2.0,2.0,2.0,2.0,2.0
458070051,2.0,2.0,2.0,2.0,2.0
458070052,3.0,2.0,2.0,2.0,2.0
458070053,2.0,1.0,2.0,2.0,1.0
458070054,4.0,4.0,3.0,3.0,3.0
458070055,2.0,1.0,3.0,2.0,2.0
458070056,2.0,3.0,2.0,2.0,2.0
458070057,2.0,2.0,2.0,2.0,2.0
458070058,2.0,2.0,1.0,2.0,2.0
458070059,3.0,3.0,3.0,3.0,3.0
458070060,1.0,2.0,2.0,3.0,2.0
458070061,2.0,2.0,2.0,2.0,2.0
458070062,2.0,1.0,2.0,2.0,2.0
458070063,2.0,2.0,1.0,2.0,2.0
458070064,4.0,4.0,4.0,4.0,4.0
458070065,3.0,3.0,3.0,3.0,3.0
458070066,1.0,2.0,2.0,2.0,3.0
458070067,1.0,1.0,1.0,1.0,1.0
458070068,2.0,3.0,2.0,2.0,1.0
458070069,2.0,2.0,2.0,2.0,2.0
458070070,2.0,2.0,2.0,1.0,2.0
458070071,3.0,3.0,3.0,3.0,3.0
458070072,3.0,3.0,3.0,3.0,3.0
458070073,2.0,2.0,2.0,2.0,2.0
458070074,2.0,2.0,2.0,2.0,2.0
458070075,1.0,3.0,1.0,2.0,1.0
458070076,3.0,3.0,2.0,3.0,2.0
458070077,3.0,3.0,3.0,3.0,3.0
458070078,2.0,1.0,2.0,3.0,2.0
458070079,2.0,1.0,3.0,3.0,2.0
458070080,2.0,2.0,2.0,2.0,2.0
458070081,2.0,3.0,1.0,2.0,2.0
458070082,1.0,3.0,2.0,3.0,1.0
458070083,3.0,2.0,3.0,3.0,2.0
458070084,3.0,3.0,3.0,2.0,3.0
458070085,2.0,2.0,2.0,2.0,2.0
458070086,2.0,2.0,2.0,2.0,2.0
458070087,3.0,2.0,2.0,2.0,2.0
458070088,3.0,3.0,3.0,3.0,3.0
458070089,2.0,2.0,2.0,1.0,2.0
458070090,3.0,3.0,3.0,3.0,3.0
458070091,2.0,3.0,2.0,2.0,3.0
458070092,3.0,3.0,3.0,3.0,3.0
458070093,2.0,3.0,3.0,4.0,3.0
458070094,3.0,3.0,3.0,2.0,3.0
458070095,3.0,3.0,3.0,3.0,4.0
458070096,2.0,2.0,2.0,2.0,2.0
458070097,3.0,3.0,2.0,3.0,3.0
458070098,4.0,4.0,4.0,4.0,4.0
458070099,2.0,2.0,2.0,3.0,4.0
458070100,3.0,3.0,3.0,3.0,3.0
458070101,3.0,3.0,3.0,2.0,3.0
458070102,3.0,3.0,3.0,2.0,3.0
458070103,1.0,3.0,3.0,1.0,3.0
458070104,2.0,2.0,2.0,2.0,2.0
458070105,3.0,3.0,2.0,3.0,3.0
458070106,4.0,2.0,4.0,4.0,4.0
458070107,2.0,2.0,2.0,3.0,3.0
458070108,3.0,3.0,3.0,2.0,3.0
458070109,2.0,2.0,2.0,2.0,2.0
458070110,4.0,4.0,4.0,4.0,2.0
458070111,3.0,3.0,3.0,2.0,3.0
458070112,3.0,3.0,3.0,3.0,3.0
458070113,3.0,3.0,3.0,3.0,3.0
458070114,2.0,2.0,2.0,2.0,2.0
458070115,2.0,2.0,2.0,2.0,2.0
458070116,3.0,2.0,3.0,2.0,3.0
458070117,2.0,2.0,3.0,3.0,3.0
458070118,2.0,2.0,2.0,2.0,2.0
458070119,3.0,3.0,3.0,3.0,3.0
458070120,4.0,2.0,4.0,4.0,2.0
458070121,3.0,1.0,2.0,2.0,3.0
458070122,2.0,1.0,3.0,3.0,3.0
458070123,2.0,3.0,2.0,3.0,4.0
458070124,4.0,4.0,4.0,4.0,4.0
458070125,4.0,3.0,3.0,3.0,4.0
458070126,3.0,3.0,3.0,3.0,4.0
458070127,4.0,4.0,4.0,4.0,4.0
458070128,2.0,2.0,2.0,2.0,2.0
458070129,1.0,1.0,1.0,1.0,1.0
458070130,1.0,1.0,1.0,1.0,1.0
458070131,1.0,2.0,2.0,2.0,2.0
458070132,4.0,4.0,4.0,4.0,4.0
458070133,2.0,2.0,2.0,2.0,1.0
458070134,3.0,3.0,3.0,3.0,2.0
458070135,3.0,3.0,3.0,3.0,3.0
458070136,2.0,2.0,2.0,2.0,2.0
458070137,2.0,2.0,2.0,2.0,2.0
458070138,2.0,2.0,1.0,1.0,1.0
458070139,2.0,2.0,1.0,1.0,1.0
458070140,3.0,3.0,3.0,3.0,2.0
458070141,2.0,2.0,2.0,2.0,2.0
458070142,2.0,2.0,1.0,2.0,1.0
458070143,4.0,4.0,4.0,4.0,4.0
458070144,1.0,1.0,3.0,3.0,1.0
458070145,3.0,2.0,2.0,2.0,2.0
458070146,4.0,4.0,4.0,4.0,2.0
458070147,2.0,3.0,3.0,3.0,1.0
458070148,4.0,4.0,4.0,4.0,4.0
458070149,1.0,1.0,2.0,2.0,2.0
458070150,3.0,3.0,3.0,3.0,3.0
458070151,3.0,3.0,3.0,3.0,2.0
458070152,4.0,4.0,4.0,4.0,4.0
458070153,3.0,3.0,3.0,3.0,3.0
458070154,1.0,1.0,1.0,1.0,1.0
458070155,2.0,2.0,2.0,2.0,2.0
458070156,2.0,2.0,2.0,2.0,2.0
458070157,2.0,2.0,2.0,2.0,2.0
458070158,2.0,2.0,2.0,2.0,2.0
458070159,2.0,2.0,2.0,2.0,1.0
458070160,2.0,1.0,1.0,1.0,1.0
458070161,1.0,1.0,1.0,1.0,1.0
458070162,2.0,2.0,2.0,3.0,2.0
458070163,1.0,1.0,1.0,1.0,1.0
458070164,1.0,1.0,1.0,1.0,1.0
458070165,1.0,1.0,1.0,1.0,1.0
458070166,2.0,2.0,2.0,2.0,2.0
458070167,3.0,2.0,3.0,2.0,3.0
458070168,2.0,2.0,2.0,2.0,2.0
458070169,2.0,2.0,2.0,2.0,2.0
458070170,2.0,2.0,2.0,2.0,2.0
458070171,2.0,2.0,2.0,2.0,2.0
458070172,1.0,1.0,1.0,1.0,1.0
458070173,1.0,2.0,1.0,1.0,1.0
458070174,1.0,2.0,1.0,1.0,1.0
458070175,1.0,1.0,1.0,1.0,1.0
458070176,2.0,2.0,2.0,2.0,2.0
458070177,2.0,2.0,2.0,2.0,2.0
458070178,1.0,1.0,1.0,2.0,1.0
458070179,1.0,2.0,2.0,2.0,1.0
458070180,1.0,1.0,1.0,1.0,1.0
458070181,4.0,4.0,4.0,4.0,4.0
458070182,3.0,3.0,2.0,2.0,2.0
458070183,3.0,3.0,2.0,3.0,2.0
458070184,2.0,2.0,3.0,3.0,2.0
458070185,2.0,3.0,2.0,3.0,3.0
458070186,2.0,3.0,3.0,2.0,3.0
458070187,2.0,3.0,3.0,4.0,3.0
458070188,2.0,3.0,3.0,2.0,2.0
458070189,1.0,3.0,4.0,2.0,2.0
458070190,1.0,1.0,1.0,1.0,1.0
458070191,1.0,1.0,1.0,1.0,1.0
458070192,1.0,1.0,1.0,1.0,1.0
458070193,1.0,1.0,1.0,1.0,1.0
458070194,2.0,2.0,2.0,2.0,2.0
458070195,1.0,1.0,1.0,1.0,1.0
458070196,2.0,2.0,2.0,2.0,2.0
