D_INTERVIEW,Q165,Q166,Q167,Q168
170070052,1,1,1,1
170070053,1,1,1,1
170070054,1,2,1,1
170070057,1,1,1,1
170070069,1,2,2,1
170070074,1,2,1,1
170070075,1,2,2,2
170070076,1,1,1,1
170070080,1,1,1,1
170070085,1,1,1,1
170070087,1,1,2,1
170070093,1,2,2,1
170070104,2,1,2,2
170070105,1,1,1,1
170070112,1,1,1,1
170070113,1,1,1,1
170070122,1,2,2,1
170070126,1,1,1,1
170070128,1,2,2,2
170070132,1,2,2,2
170070154,1,2,2,1
170070156,1,1,2,1
170070197,2,2,2,2
170070198,1,1,1,1
170070210,1,1,1,1
170070213,1,1,1,1
170070214,1,1,2,1
170070215,1,1,2,1
170070219,1,1,1,1
170070222,2,1,1,2
170070224,1,2,1,1
170070253,1,2,1,1
170070255,1,1,1,1
170070261,1,1,2,1
170070308,1,2,1,1
170070312,1,2,2,2
170070323,1,2,1,2
170070332,1,2,2,1
170070334,1,2,2,1
170070337,1,1,1,1
170070341,1,1,2,1
170070344,1,2,2,1
170070358,1,1,1,1
170070366,1,1,1,1
170070369,1,1,1,1
170070378,1,1,2,1
170070385,1,1,1,1
170070388,1,1,1,1
170070389,1,1,1,1
170070390,1,2,1,1
170070393,1,2,2,2
170070394,1,1,2,1
170070395,1,1,1,1
170070407,1,2,2,2
170070408,1,1,1,1
170070414,1,2,2,1
170070415,1,1,1,1
170070418,1,2,2,2
170070421,2,1,2,2
170070422,1,1,1,2
170070423,1,1,1,1
170070426,1,2,2,2
170070432,1,1,2,1
170070442,1,1,1,1
170070465,1,2,2,1
170070471,1,2,2,1
170070497,1,1,2,1
170070503,1,1,2,1
170070507,1,1,1,1
170070510,1,1,2,1
170070514,1,2,2,1
170070515,1,2,2,1
170070522,1,2,2,2
170070530,1,1,1,1
170070531,1,1,2,1
170070534,1,1,1,1
170070538,1,1,2,1
170070541,2,2,2,2
170070544,1,1,1,1
170070545,1,1,2,1
170070553,1,2,2,2
170070558,1,2,2,1
170070559,1,1,1,1
170070560,1,1,1,1
170070561,1,2,1,1
170070562,1,2,1,1
170070565,1,1,2,1
170070585,1,1,1,1
170070593,1,1,1,1
170070598,1,1,2,2
170070601,1,2,1,1
170070621,1,2,1,1
170070626,2,1,2,2
170070630,1,1,1,1
170070631,1,2,1,1
170070663,1,2,2,2
170070666,1,1,1,1
170070669,1,1,2,1
170070672,2,1,2,2
170070673,1,2,2,1
170070676,1,2,2,1
170070680,1,2,2,1
170070682,1,1,2,1
170070686,1,1,1,1
170070699,1,1,1,1
170070703,1,1,1,1
170070704,1,1,2,1
170070706,1,2,1,1
170070723,1,1,1,1
170070731,1,1,1,1
170070734,1,1,1,1
170070737,1,1,1,1
170070749,1,1,1,1
170070750,1,1,1,1
170070751,1,2,2,2
170070752,1,1,1,1
170070756,1,1,1,1
170070760,1,1,1,1
170070762,1,1,2,1
170070763,1,1,1,1
170070764,1,2,2,2
170070769,1,2,2,1
170070776,1,1,2,1
170070779,1,1,2,1
170070805,1,1,1,1
170070809,1,1,1,1
170070810,1,1,2,2
170070836,1,1,1,1
170070856,1,2,2,2
170070868,1,1,1,1
170070881,1,1,2,1
170070884,1,2,2,2
170070890,1,2,1,1
170070904,1,2,2,1
170071000,1,1,2,2
170071009,1,1,1,1
170071010,1,1,2,1
170071012,1,2,2,1
170071013,1,1,2,1
170071014,1,1,1,2
170071018,1,1,2,1
170071020,1,1,2,1
170071024,1,1,1,1
170071029,1,1,1,1
170071042,1,1,2,1
170071045,1,1,1,1
170071046,1,2,2,2
170071051,1,2,1,1
170071052,1,1,2,1
170071053,1,2,2,2
170071059,1,2,2,1
170071060,1,1,1,1
170071061,1,1,1,1
170071062,1,1,1,2
170071083,1,1,1,1
170071092,1,1,1,1
170071094,1,1,1,1
170071095,1,1,1,1
170071096,1,2,2,2
170071097,1,1,1,1
170071101,1,2,1,1
170071104,1,2,2,2
170071110,1,1,1,1
170071113,1,2,1,1
170071124,1,1,1,1
170071131,1,1,1,1
170071152,1,1,1,1
170071153,1,1,1,1
170071158,1,1,2,1
170071160,1,2,2,2
170071163,1,2,2,1
170071164,1,1,1,1
170071165,1,2,2,1
170071166,1,1,1,1
170071178,1,1,1,1
170071181,1,2,2,1
170071187,1,1,1,1
170071188,1,1,2,1
170071191,1,1,2,1
170071216,1,1,2,1
170071219,1,1,1,2
170071222,1,1,1,1
170071225,1,1,2,1
170071226,1,1,1,1
170071230,1,1,1,1
170071231,1,2,1,1
170071234,1,1,1,1
170071248,1,2,2,1
170071249,1,2,1,1
170071252,1,2,2,1
170071255,1,2,1,1
170071258,1,1,2,1
170071259,1,1,1,1
170071261,1,1,2,1
170071263,1,2,2,1
170071264,1,1,2,1
170071265,1,1,1,1
170071276,1,2,2,2
170071279,1,1,1,1
170071284,1,2,2,1
170071296,1,2,2,1
170071297,1,2,2,2
170071302,1,1,2,1
170071303,1,1,2,1
170071304,1,1,2,1
170071305,1,1,1,1
170071306,1,2,1,1
170071307,1,1,1,1
170071308,1,1,1,1
170071309,1,1,1,1
170071310,1,1,1,1
170071311,1,1,2,1
170071313,1,1,2,1
170071317,1,2,2,1
170071320,1,1,1,1
170071327,1,1,1,1
170071429,1,1,1,1
170071432,1,2,2,1
170071433,1,2,2,1
170071444,1,1,1,1
170071448,1,1,1,1
170071454,1,2,1,1
170071463,1,1,1,1
170071472,1,2,2,1
170071473,1,1,2,1
170071474,1,2,2,1
170071481,1,2,2,1
170071484,1,2,1,1
170071491,1,2,2,1
170071494,1,1,1,1
170071495,1,2,2,1
170071496,1,2,2,2
170071497,1,1,1,1
170071504,1,2,2,1
170071505,1,1,1,1
170071506,1,2,1,1
170071513,1,2,2,2
170071514,1,1,1,1
170071515,1,1,1,1
170071516,1,1,1,1
170071517,1,1,1,1
170071525,1,2,2,1
170071527,1,1,1,1
170071528,1,2,2,2
170071530,1,2,2,2
170071532,1,2,2,1
170071533,1,2,1,1
170071534,1,2,2,2
170071537,1,1,1,1
170071541,1,1,1,1
170071543,1,1,1,1
170071547,1,1,1,1
170071552,1,2,2,2
170071556,1,1,2,2
170071558,1,1,1,1
170071559,1,1,1,1
170071566,1,1,2,1
170071573,1,1,1,1
170071586,1,1,1,1
170071589,1,1,1,1
170071594,1,2,2,1
170071602,1,1,1,1
170071605,1,2,2,2
170071608,1,1,1,1
170071612,1,2,1,1
170071621,1,2,2,1
170071622,1,1,1,1
170071623,1,2,2,1
170071624,1,1,1,1
170071626,2,2,2,2
170071629,1,2,2,1
170071634,1,1,2,1
170071637,1,1,2,1
170071638,1,1,1,1
170071639,1,1,1,1
170071642,1,1,1,1
170071643,2,1,2,2
170071727,1,1,1,1
170071728,1,2,2,1
170071729,2,1,2,2
170071730,1,1,1,1
170071735,1,1,2,2
170071739,1,1,2,2
170071748,1,1,2,1
170071751,1,1,2,1
170071752,1,1,1,1
170071755,1,1,2,1
170071759,1,2,2,1
170071762,1,2,2,1
170071765,1,2,2,2
170071768,1,2,2,2
170071773,1,1,2,1
170071776,1,2,2,1
170071780,1,1,2,1
170071839,1,2,2,2
170071849,1,1,2,1
170071850,1,1,2,1
170071852,1,1,1,1
170071853,1,2,2,1
170071859,1,1,1,1
