D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
528070001,2.0,3.0,3.0,4.0,3.0,3.0
528070002,3.0,4.0,4.0,4.0,4.0,3.0
528070003,2.0,3.0,3.0,4.0,4.0,4.0
528070004,3.0,2.0,4.0,4.0,4.0,2.0
528070005,1.0,-1.0,-5.0,-1.0,-5.0,-5.0
528070006,2.0,4.0,4.0,4.0,4.0,4.0
528070007,3.0,4.0,4.0,4.0,4.0,4.0
528070008,4.0,1.0,-1.0,4.0,1.0,1.0
528070009,4.0,3.0,4.0,4.0,3.0,2.0
528070010,-1.0,3.0,4.0,4.0,4.0,1.0
528070011,2.0,4.0,4.0,4.0,4.0,1.0
528070012,-1.0,2.0,3.0,4.0,4.0,2.0
528070013,2.0,4.0,3.0,4.0,4.0,2.0
528070014,2.0,3.0,4.0,4.0,4.0,2.0
528070015,1.0,4.0,4.0,4.0,4.0,3.0
528070016,3.0,3.0,3.0,4.0,3.0,2.0
528070017,2.0,4.0,4.0,4.0,4.0,-1.0
528070018,1.0,3.0,4.0,4.0,4.0,1.0
528070019,2.0,3.0,3.0,4.0,3.0,3.0
528070020,1.0,-5.0,-1.0,3.0,3.0,-1.0
528070021,1.0,4.0,3.0,4.0,3.0,4.0
528070022,-1.0,2.0,3.0,3.0,3.0,2.0
528070023,2.0,4.0,3.0,4.0,4.0,2.0
528070024,2.0,3.0,3.0,3.0,3.0,2.0
528070025,1.0,3.0,3.0,4.0,4.0,3.0
528070026,2.0,3.0,3.0,3.0,3.0,2.0
528070027,4.0,3.0,4.0,4.0,4.0,-1.0
528070028,-1.0,3.0,-1.0,4.0,4.0,-1.0
528070029,2.0,4.0,4.0,4.0,4.0,3.0
528070030,3.0,3.0,3.0,4.0,4.0,-1.0
528070031,2.0,3.0,3.0,3.0,3.0,2.0
528070032,2.0,4.0,4.0,4.0,4.0,-1.0
528070033,-1.0,4.0,4.0,4.0,4.0,1.0
528070034,3.0,4.0,4.0,4.0,4.0,3.0
528070035,1.0,4.0,4.0,4.0,4.0,-1.0
528070036,3.0,3.0,3.0,3.0,3.0,3.0
528070037,2.0,2.0,3.0,4.0,4.0,1.0
528070038,3.0,3.0,4.0,4.0,4.0,2.0
528070039,2.0,3.0,4.0,3.0,4.0,3.0
528070040,2.0,2.0,2.0,2.0,2.0,4.0
528070041,2.0,3.0,3.0,3.0,3.0,2.0
528070042,3.0,4.0,4.0,4.0,4.0,3.0
528070043,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070044,3.0,2.0,3.0,3.0,3.0,2.0
528070045,2.0,3.0,3.0,3.0,3.0,2.0
528070046,2.0,-1.0,4.0,4.0,4.0,2.0
528070047,2.0,2.0,3.0,3.0,3.0,2.0
528070048,2.0,4.0,4.0,4.0,4.0,2.0
528070049,1.0,4.0,3.0,3.0,3.0,2.0
528070050,2.0,3.0,3.0,3.0,3.0,3.0
528070051,3.0,4.0,4.0,4.0,4.0,3.0
528070052,3.0,2.0,3.0,4.0,3.0,1.0
528070053,2.0,4.0,4.0,4.0,4.0,2.0
528070054,-1.0,4.0,3.0,4.0,3.0,3.0
528070055,2.0,4.0,4.0,4.0,4.0,-1.0
528070056,3.0,3.0,4.0,4.0,4.0,2.0
528070057,2.0,4.0,4.0,4.0,4.0,-5.0
528070058,3.0,4.0,4.0,4.0,4.0,1.0
528070059,2.0,4.0,4.0,4.0,4.0,4.0
528070060,3.0,4.0,4.0,4.0,4.0,3.0
528070061,3.0,3.0,3.0,3.0,3.0,3.0
528070062,2.0,2.0,4.0,4.0,4.0,2.0
528070063,1.0,4.0,4.0,4.0,4.0,3.0
528070064,2.0,2.0,3.0,3.0,3.0,3.0
528070065,2.0,3.0,3.0,3.0,4.0,2.0
528070066,2.0,4.0,4.0,4.0,4.0,2.0
528070067,3.0,3.0,3.0,4.0,-1.0,3.0
528070068,1.0,4.0,3.0,3.0,3.0,2.0
528070069,3.0,2.0,3.0,4.0,2.0,-1.0
528070070,2.0,2.0,-1.0,3.0,3.0,-1.0
528070071,-1.0,4.0,2.0,4.0,4.0,4.0
528070072,-1.0,3.0,4.0,3.0,3.0,2.0
528070073,-1.0,-1.0,4.0,-1.0,4.0,2.0
528070074,2.0,3.0,3.0,3.0,3.0,1.0
528070075,3.0,3.0,3.0,3.0,3.0,3.0
528070076,2.0,3.0,4.0,3.0,4.0,-1.0
528070077,2.0,3.0,3.0,3.0,3.0,4.0
528070078,2.0,4.0,3.0,4.0,3.0,2.0
528070079,1.0,4.0,4.0,4.0,4.0,4.0
528070080,1.0,-5.0,3.0,4.0,4.0,-5.0
528070081,4.0,4.0,-1.0,4.0,4.0,3.0
528070082,2.0,3.0,3.0,3.0,2.0,3.0
528070083,3.0,3.0,4.0,4.0,4.0,3.0
528070084,3.0,4.0,4.0,4.0,4.0,3.0
528070085,3.0,4.0,4.0,4.0,-1.0,4.0
528070086,1.0,3.0,3.0,3.0,3.0,2.0
528070087,2.0,3.0,3.0,4.0,2.0,2.0
528070088,2.0,3.0,4.0,4.0,4.0,3.0
528070089,1.0,4.0,4.0,4.0,4.0,3.0
528070090,1.0,4.0,4.0,4.0,4.0,-1.0
528070091,3.0,3.0,3.0,3.0,3.0,3.0
528070092,2.0,3.0,-1.0,3.0,3.0,1.0
528070093,2.0,4.0,3.0,4.0,4.0,4.0
528070094,4.0,-2.0,4.0,3.0,4.0,2.0
528070095,2.0,4.0,3.0,4.0,3.0,3.0
528070096,3.0,3.0,3.0,3.0,3.0,-1.0
528070097,3.0,4.0,4.0,4.0,4.0,2.0
528070098,4.0,4.0,4.0,4.0,4.0,2.0
528070099,4.0,4.0,4.0,4.0,4.0,4.0
528070100,1.0,4.0,4.0,4.0,4.0,4.0
528070101,3.0,3.0,4.0,4.0,4.0,2.0
528070102,1.0,3.0,3.0,4.0,3.0,2.0
528070103,-1.0,3.0,3.0,3.0,3.0,2.0
528070104,2.0,2.0,3.0,3.0,3.0,-1.0
528070105,3.0,3.0,3.0,3.0,3.0,3.0
528070106,3.0,4.0,4.0,4.0,4.0,3.0
528070107,1.0,3.0,4.0,4.0,4.0,1.0
528070108,-1.0,4.0,-1.0,4.0,4.0,4.0
528070109,2.0,4.0,3.0,4.0,4.0,3.0
528070110,4.0,2.0,2.0,2.0,2.0,2.0
528070111,1.0,3.0,3.0,3.0,3.0,2.0
528070112,2.0,2.0,3.0,3.0,3.0,2.0
528070113,2.0,2.0,3.0,3.0,3.0,2.0
528070114,2.0,3.0,3.0,3.0,3.0,2.0
528070115,-1.0,4.0,4.0,4.0,4.0,3.0
528070116,1.0,3.0,3.0,3.0,3.0,3.0
528070117,2.0,2.0,4.0,4.0,4.0,-1.0
528070118,2.0,3.0,3.0,3.0,3.0,2.0
528070119,2.0,3.0,4.0,4.0,4.0,2.0
528070120,3.0,3.0,4.0,4.0,4.0,2.0
528070121,2.0,3.0,3.0,4.0,3.0,3.0
528070122,2.0,4.0,3.0,4.0,4.0,3.0
528070123,2.0,3.0,3.0,3.0,3.0,2.0
528070124,2.0,3.0,4.0,4.0,4.0,2.0
528070125,3.0,3.0,4.0,-1.0,4.0,3.0
528070126,3.0,4.0,4.0,4.0,4.0,2.0
528070127,2.0,3.0,4.0,4.0,3.0,2.0
528070128,3.0,4.0,3.0,4.0,2.0,2.0
528070129,-1.0,4.0,4.0,4.0,4.0,-1.0
528070130,3.0,2.0,3.0,4.0,3.0,-1.0
528070131,3.0,2.0,2.0,3.0,2.0,-1.0
528070132,3.0,3.0,3.0,3.0,3.0,-1.0
528070133,4.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070134,2.0,3.0,4.0,4.0,4.0,-1.0
528070135,1.0,2.0,3.0,3.0,3.0,2.0
528070136,2.0,4.0,4.0,4.0,4.0,-1.0
528070137,3.0,4.0,4.0,4.0,4.0,-1.0
528070138,2.0,3.0,3.0,3.0,3.0,2.0
528070139,4.0,3.0,3.0,3.0,3.0,3.0
528070140,3.0,4.0,4.0,4.0,4.0,3.0
528070141,3.0,2.0,4.0,4.0,4.0,4.0
528070142,2.0,2.0,4.0,4.0,4.0,-1.0
528070143,3.0,3.0,3.0,3.0,3.0,2.0
528070144,4.0,4.0,4.0,4.0,4.0,-1.0
528070145,-5.0,4.0,4.0,4.0,4.0,3.0
528070146,2.0,2.0,3.0,3.0,3.0,3.0
528070147,2.0,2.0,3.0,3.0,3.0,2.0
528070148,3.0,3.0,3.0,3.0,3.0,-1.0
528070149,2.0,2.0,4.0,4.0,4.0,3.0
528070150,3.0,4.0,3.0,2.0,3.0,3.0
528070151,2.0,4.0,4.0,3.0,4.0,3.0
