D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
392070001,1,1,2,1,2,1,1,1
392070002,2,2,1,2,1,1,1,1
392070003,2,2,0,1,2,2,1,2
392070004,2,0,2,1,2,0,2,2
392070005,2,1,1,1,1,1,1,1
392070006,2,2,2,1,2,1,1,1
392070007,1,0,2,0,1,0,1,1
392070008,1,2,2,2,1,1,2,1
392070009,1,1,1,1,1,1,1,1
392070010,2,1,2,1,2,1,2,2
392070011,2,2,2,1,2,1,0,1
392070012,2,2,1,1,1,1,1,0
392070013,1,1,1,1,1,1,1,1
392070014,2,2,1,2,2,1,1,1
392070015,2,2,2,1,1,2,1,1
392070016,1,2,0,0,0,1,1,1
392070017,1,1,2,2,2,1,2,2
392070018,1,2,2,1,2,1,1,2
392070019,2,1,1,2,1,0,1,1
392070020,2,2,1,1,2,1,1,1
392070021,2,2,1,1,1,1,1,1
392070022,1,1,2,0,2,0,2,2
392070023,2,1,2,2,2,2,1,1
392070024,2,2,1,1,1,2,1,1
392070025,1,2,1,2,1,1,1,1
392070026,2,1,1,0,2,1,2,1
392070027,1,2,2,1,2,1,2,2
392070028,1,2,0,0,2,1,0,2
392070029,2,2,1,2,1,2,0,0
392070030,2,2,2,2,2,2,2,2
392070031,2,2,2,0,2,0,1,0
392070032,2,2,1,1,1,1,1,1
392070033,2,2,2,2,2,2,0,1
392070034,1,1,1,1,1,1,1,1
392070035,1,1,1,1,1,1,1,1
392070036,1,1,1,1,1,1,1,1
392070037,1,1,2,1,2,1,1,2
392070038,2,2,1,2,0,2,1,1
392070039,2,2,1,0,2,2,1,1
392070040,2,2,2,1,2,1,1,1
392070041,2,2,1,1,1,1,1,1
392070042,1,1,0,0,0,1,1,1
392070043,1,0,0,1,0,1,1,0
392070044,-2,-2,-2,-2,-2,-2,-2,-2
392070045,1,2,2,1,2,0,1,1
392070046,1,2,1,1,1,1,1,1
392070047,1,1,1,1,1,1,1,1
392070048,1,2,0,1,0,1,2,2
392070049,1,1,1,1,1,1,1,1
392070050,1,0,2,0,2,1,1,2
392070051,2,2,1,1,1,2,1,1
392070052,1,2,2,0,2,0,1,1
392070053,2,2,2,1,2,1,1,1
392070054,2,2,2,1,1,1,1,2
392070055,0,0,2,2,2,1,2,1
392070056,2,2,1,1,1,1,1,1
392070057,2,2,1,1,1,1,1,1
392070058,2,2,0,2,1,1,0,0
392070059,0,2,2,1,2,1,2,2
392070060,2,2,2,2,1,2,1,0
392070061,1,1,2,1,1,1,2,1
392070062,1,2,2,1,2,1,2,2
392070063,2,1,1,1,1,1,1,1
392070064,2,1,0,2,1,1,1,1
392070065,2,1,1,1,2,1,1,1
392070066,2,2,2,1,2,2,2,2
392070067,1,1,1,2,1,1,1,1
392070068,2,2,2,1,2,2,1,2
392070069,1,1,2,1,2,0,2,2
392070070,2,2,2,2,2,2,1,2
392070071,1,1,2,1,1,1,1,1
392070072,1,2,0,1,0,2,1,1
392070073,2,2,2,2,2,2,1,1
392070074,2,1,2,1,1,1,2,2
392070075,2,1,1,1,1,2,1,1
392070076,2,1,1,0,1,1,1,1
392070077,1,2,2,2,2,2,2,2
392070078,1,1,2,1,2,2,2,2
392070079,2,2,1,1,1,1,1,1
392070080,1,2,1,0,1,2,1,1
392070081,2,2,1,1,1,1,1,1
392070082,0,2,2,0,2,2,2,2
392070083,2,2,1,1,1,2,1,1
392070084,2,1,2,1,1,2,1,2
392070085,2,2,2,2,2,2,1,1
392070086,2,2,1,2,2,2,1,1
392070087,2,2,1,1,1,1,1,1
392070088,1,1,2,1,2,1,1,1
392070089,1,1,2,1,2,1,1,1
392070090,2,1,1,1,-2,1,1,1
392070091,1,1,1,1,1,1,2,1
392070092,2,2,1,1,0,1,0,0
392070093,2,1,0,0,0,1,1,1
392070094,2,2,1,1,1,2,1,1
392070095,1,2,2,1,2,2,2,1
392070096,0,1,2,1,2,0,2,2
392070097,2,1,2,1,2,1,1,1
392070098,2,2,1,2,1,1,0,1
392070099,0,1,2,1,2,1,2,2
392070100,2,2,2,2,1,2,1,1
392070101,2,2,2,1,2,2,1,2
392070102,2,2,1,2,1,1,1,1
392070103,1,1,1,1,1,1,1,1
392070104,2,2,0,2,2,2,0,0
392070105,2,2,2,2,2,2,1,2
392070106,2,2,1,1,1,1,1,1
392070107,2,2,1,1,1,1,1,1
392070108,1,1,2,2,1,2,2,2
392070109,1,1,2,1,1,1,1,1
392070110,2,2,1,1,1,1,1,1
392070111,1,1,1,1,1,1,1,1
392070112,1,1,1,1,1,1,1,1
392070113,1,2,1,1,1,1,1,1
392070114,2,2,2,2,2,2,2,2
392070115,0,0,2,2,1,2,0,2
392070116,1,1,2,1,2,1,2,1
392070117,2,2,2,1,2,2,1,1
392070118,2,2,0,1,2,2,2,1
392070119,1,2,2,0,2,0,1,2
392070120,2,1,1,1,1,1,2,1
392070121,1,1,2,2,2,2,2,2
392070122,2,2,0,2,0,2,1,1
392070123,-2,2,-2,-2,-2,-2,-2,-2
392070124,2,2,2,1,2,1,1,2
392070125,1,1,2,0,2,0,1,1
392070126,2,1,2,2,2,2,1,1
392070127,2,0,2,0,1,1,2,2
392070128,1,2,2,1,2,1,2,1
392070129,0,1,2,1,2,1,0,0
392070130,1,2,0,1,1,1,0,0
392070131,2,2,1,2,2,1,2,2
392070132,1,1,2,1,2,1,2,2
392070133,2,1,1,1,1,1,1,1
392070134,2,2,1,2,1,2,0,1
392070135,2,2,2,1,2,0,2,2
392070136,2,2,2,0,2,2,2,2
392070137,2,2,1,1,1,1,1,1
392070138,2,2,1,2,1,2,1,1
392070139,2,2,1,1,1,1,1,1
392070140,2,2,1,2,1,2,0,0
392070141,1,1,1,1,1,1,2,2
392070142,2,1,2,2,2,1,1,1
392070143,1,1,1,1,1,1,1,1
392070144,2,2,1,1,1,2,1,1
392070145,2,0,0,2,0,2,0,0
392070146,2,2,2,1,1,2,1,1
392070147,1,1,2,1,1,1,1,2
392070148,2,2,1,1,1,1,1,1
392070149,2,2,1,2,1,2,1,1
392070150,2,2,1,2,1,2,2,1
392070151,1,1,1,1,1,1,1,1
392070152,2,2,0,1,0,2,0,0
392070153,2,2,2,1,1,1,1,2
392070154,2,2,1,1,0,1,1,0
392070155,1,1,2,0,1,1,1,1
392070156,2,1,1,1,1,2,1,1
392070157,2,1,1,2,1,2,1,1
392070158,1,1,1,1,2,1,1,1
392070159,2,1,1,1,1,1,1,1
392070160,2,1,2,1,2,2,1,1
392070161,1,1,1,0,1,1,1,1
392070162,2,-2,1,2,1,1,1,1
392070163,2,2,0,2,0,2,0,0
392070164,2,2,2,2,2,2,2,2
392070165,1,1,1,1,1,1,1,1
392070166,2,2,1,0,1,0,1,1
392070167,1,2,2,0,2,0,1,1
392070168,2,2,1,0,1,1,1,0
392070169,2,2,1,1,0,2,1,1
392070170,2,2,0,2,0,2,0,0
392070171,2,2,1,1,1,2,1,1
392070172,2,2,2,2,2,1,2,2
392070173,2,1,1,1,1,2,1,1
392070174,1,1,1,2,2,2,2,1
392070175,1,1,-2,-2,-2,-2,-2,-2
392070176,1,1,1,1,1,1,1,1
392070177,2,2,2,2,2,2,2,2
392070178,1,1,2,1,1,0,1,1
392070179,1,0,2,0,2,0,2,2
392070180,2,2,1,1,1,2,0,1
392070181,1,1,1,1,1,1,1,1
392070182,2,1,2,1,2,1,1,2
392070183,2,2,2,2,1,2,1,1
392070184,2,2,1,2,1,2,1,1
392070185,-2,-2,-2,-2,-2,-2,-2,-2
392070186,2,2,2,2,1,1,1,2
392070187,1,1,1,0,0,1,1,1
392070188,2,1,2,1,1,1,1,1
392070189,1,1,1,1,1,1,1,1
392070190,1,1,1,1,1,1,1,1
392070191,1,2,2,2,2,2,1,1
392070192,1,1,2,1,1,1,2,2
392070193,1,1,1,1,1,1,2,1
392070194,2,2,2,2,1,1,1,1
392070195,-2,-2,-2,-2,-2,-2,-2,-2
392070196,2,2,1,1,1,2,1,1
392070197,1,2,2,1,2,1,2,2
392070198,2,2,0,2,0,2,0,0
392070199,1,2,1,1,1,1,2,2
392070200,2,2,1,1,1,1,1,1
392070201,2,2,1,1,1,1,1,1
392070202,1,1,1,1,1,1,1,1
392070203,1,1,2,1,2,0,2,2
392070204,2,2,1,1,0,2,0,0
392070205,2,2,2,1,2,1,1,1
392070206,1,1,1,1,1,1,1,1
392070207,2,2,1,2,1,2,1,1
392070208,2,2,2,0,2,1,0,0
392070209,2,2,0,2,0,2,0,1
392070210,2,1,2,1,1,2,1,1
